model,model_display_name,n_train,metric,base_metric,aggregation,n_repeats,mean,sd,mcse,median,iqr,q05,q95,q10,q90
set_transformer,Set Transformer,40,crps,crps,play,100,0.013653720442130224,0.00029213221211604333,2.9213221211604332e-05,0.01365273454733365,0.00038769665770157363,0.01320385787406274,0.01412231346153457,0.013276716994149859,0.01402135584130532
zoo_cnn,Zoo CNN,40,crps,crps,play,100,0.015229899377903738,0.0007595084635789003,7.595084635789002e-05,0.0151001044016637,0.0007545615935717481,0.014397346383376395,0.016213807836456255,0.01455801135051705,0.01591230348245629
lightgbm_multiclass,LightGBM,80,crps,crps,play,100,0.013838711634908138,0.0002894582294938572,2.8945822949385722e-05,0.01383899962739295,0.00038727964048945046,0.013358182548775821,0.014287472109132069,0.013423960436304309,0.01417396682964075
ridge_sgd_l2,L2 one-vs-rest logistic,80,crps,crps,play,100,0.014238317528230628,0.00025261636266821083,2.5261636266821085e-05,0.01423265595462575,0.0003929191710971766,0.013854548310943435,0.01467308452197751,0.013930677631506759,0.01456237613309651
set_transformer,Set Transformer,80,crps,crps,play,100,0.013316960575991528,0.0002713256535965548,2.713256535965548e-05,0.013319998941373149,0.00036260591003339955,0.012888008842383916,0.013792593635184161,0.01295032684347195,0.01368862149226258
zoo_cnn,Zoo CNN,80,crps,crps,play,100,0.014232431209911573,0.0006195756375444436,6.195756375444436e-05,0.014092387353466799,0.0005544248540661247,0.013605900559163494,0.015238806522528025,0.01364362364115334,0.014949768552340731
lightgbm_multiclass,LightGBM,160,crps,crps,play,100,0.013607204957430324,0.00028375588778056126,2.8375588778056127e-05,0.01362963581456075,0.0003942159010298738,0.01311819236000226,0.01400196868567472,0.01322027714850975,0.01390321195877949
ridge_sgd_l2,L2 one-vs-rest logistic,160,crps,crps,play,100,0.014229647511731785,0.00025300364934497646,2.5300364934497645e-05,0.014217594375014301,0.00034918698917974986,0.01383618300890962,0.014666845178014915,0.01390560879831434,0.01453353533520771
set_transformer,Set Transformer,160,crps,crps,play,100,0.012875801201183153,0.00027308949733975506,2.7308949733975505e-05,0.0128411103489885,0.0003824891016299993,0.0124235305241843,0.013316237353891746,0.01257555309834032,0.01322756020876459
zoo_cnn,Zoo CNN,160,crps,crps,play,100,0.013506385461750621,0.000524196730217754,5.2419673021775396e-05,0.013477892084986051,0.000553006083073751,0.012838110292508064,0.014361479782580865,0.01292178568818085,0.01415309813996733
lightgbm_multiclass,LightGBM,240,crps,crps,play,100,0.013475707561037838,0.0002803956795021681,2.8039567950216808e-05,0.0134800586219001,0.000409913334619599,0.012998338314806861,0.01391101095574224,0.01307926850338211,0.01377898463201632
ridge_sgd_l2,L2 one-vs-rest logistic,240,crps,crps,play,100,0.014226722964271531,0.0002512434910078123,2.5124349100781234e-05,0.01421417474582375,0.00036639365443967564,0.013828497807720875,0.014651138536012395,0.013918463719476769,0.01454029768369663
set_transformer,Set Transformer,240,crps,crps,play,100,0.012676908562826515,0.0002691695996444807,2.691695996444807e-05,0.01270393713823275,0.0003537769865999251,0.01219995565627493,0.01310681917991051,0.01233176350581304,0.01306392473279429
