metric,n_train,model_a,model_b,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws
mean_width_inclusive_game_equal,20,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,5.576753407557931,0.7132112607974339,0.07132112607974339,5.458332440577952,5.695174374537909,5.320579899161107,5.832926915954754,0.9,3.591832076661254,10000
mean_width_inclusive_game_equal,20,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,1.0001885183094135,8.294750254707811,0.8294750254707811,-0.3770644781192394,2.3774415147380665,-1.9791464849659486,3.9795235215847757,0.9,3.591832076661254,10000
mean_width_inclusive_game_equal,20,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,100,4.579302008715166,1.5031900496413932,0.15031900496413933,4.329713662291435,4.828890355138896,4.039381384953168,5.119222632477164,0.9,3.591832076661254,10000
mean_width_inclusive_game_equal,20,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,100,-4.576564889248517,8.109678482179108,0.8109678482179108,-5.923088732243665,-3.230041046253369,-7.489425219618564,-1.6637045588784698,0.9,3.591832076661254,10000
mean_width_inclusive_game_equal,20,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,100,-0.9974513988427646,1.3578742077940564,0.13578742077940564,-1.2229116314032473,-0.7719911662822817,-1.4851770124053325,-0.5097257852801965,0.9,3.591832076661254,10000
mean_width_inclusive_game_equal,20,zoo_cnn,set_transformer,zoo_cnn - set_transformer,100,3.579113490405752,8.000401848162326,0.8000401848162326,2.250733843078681,4.907493137732823,0.70550349196481,6.4527234888466936,0.9,3.591832076661254,10000
crps,40,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,0.00021203954249499404,0.00010055072117986204,1.0055072117986204e-05,0.0001953441896771767,0.00022873489531281138,0.00017592341192846899,0.0002481556730615191,0.9,3.591832076661254,10000
crps,40,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,-0.000981277567710058,0.0007370387143444564,7.370387143444564e-05,-0.0011036548240040249,-0.0008589003114160912,-0.0012460094973024169,-0.000716545638117699,0.9,3.591832076661254,10000
crps,40,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,100,0.000594901368063455,0.00014566238514940352,1.4566238514940352e-05,0.000570715714456814,0.0006190870216700961,0.0005425818853291937,0.0006472208507977163,0.9,3.591832076661254,10000
crps,40,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,100,-0.001193317110205052,0.0007387789217079319,7.387789217079319e-05,-0.0013159833089906139,-0.0010706509114194903,-0.0014586740930602284,-0.0009279601273498758,0.9,3.591832076661254,10000
crps,40,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,100,0.000382861825568461,0.00012915803397267524,1.2915803397267525e-05,0.0003614165398347838,0.0004043071113021382,0.0003364704286303051,0.0004292532225066169,0.9,3.591832076661254,10000
crps,40,zoo_cnn,set_transformer,zoo_cnn - set_transformer,100,0.001576178935773513,0.0007483939141390985,7.483939141390985e-05,0.0014519162721481633,0.0017004415993988628,0.0013073684090952249,0.0018449894624518012,0.9,3.591832076661254,10000
coverage,40,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,0.023107244929201513,0.005076239269953072,0.0005076239269953071,0.02226439065023589,0.023950099208167135,0.021283945025339018,0.02493054483306401,0.9,3.591832076661254,10000
coverage,40,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,0.016265845996784118,0.012236934142667452,0.0012236934142667451,0.01423403627405938,0.018297655719508858,0.011870544739421694,0.020661147254146542,0.9,3.591832076661254,10000
coverage,40,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,100,0.01772690145447733,0.006301648881934544,0.0006301648881934543,0.016680581247288485,0.018773221661666176,0.015463454995478429,0.01999034791347623,0.9,3.591832076661254,10000
coverage,40,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,100,-0.006841398932417397,0.0124589806358016,0.00124589806358016,-0.00891007705848459,-0.004772720806350205,-0.01131645556143476,-0.0023663423034000356,0.9,3.591832076661254,10000
coverage,40,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,100,-0.005380343474724184,0.006439108439736343,0.0006439108439736343,-0.006449487345321442,-0.0043111996041269255,-0.007693163098618703,-0.003067523850829664,0.9,3.591832076661254,10000
coverage,40,zoo_cnn,set_transformer,zoo_cnn - set_transformer,100,0.0014610554576932134,0.012261889595716648,0.0012261889595716648,-0.000574897846385254,0.0034970087617716807,-0.0029432093793441815,0.005865320294730608,0.9,3.591832076661254,10000
mean_width,40,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,6.691653611785667,0.6456277325899278,0.06456277325899278,6.5844541540585055,6.798853069512829,6.459754971835809,6.923552251735525,0.9,3.591832076661254,10000
mean_width,40,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,3.6202040285043076,3.465405161433422,0.3465405161433422,3.044811220298339,4.195596836710276,2.3754886867579037,4.864919370250711,0.9,3.591832076661254,10000
mean_width,40,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,100,5.956853087996,0.9037149613437802,0.09037149613437802,5.806801055058456,6.106905120933545,5.632253849364673,6.281452326627328,0.9,3.591832076661254,10000
mean_width,40,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,100,-3.0714495832813604,3.493121443855237,0.3493121443855237,-3.651444378508414,-2.4914547880543068,-4.3261201482526115,-1.816779018310109,0.9,3.591832076661254,10000
mean_width,40,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,100,-0.7348005237896668,0.7982028922584471,0.0798202892258447,-0.8673334260909775,-0.602267621488356,-1.0215015989994345,-0.44809944857989903,0.9,3.591832076661254,10000
mean_width,40,zoo_cnn,set_transformer,zoo_cnn - set_transformer,100,2.3366490594916947,3.513255718633044,0.35132557186330443,1.7533111870872524,2.919986931896137,1.0747466011217193,3.59855151786167,0.9,3.591832076661254,10000
mean_width_inclusive,40,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,6.691653611785667,0.6456277325899276,0.06456277325899276,6.5844541540585055,6.798853069512829,6.459754971835809,6.923552251735525,0.9,3.591832076661254,10000
mean_width_inclusive,40,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,3.6202040285043076,3.4654051614334214,0.34654051614334214,3.0448112202983393,4.195596836710276,2.375488686757904,4.8649193702507105,0.9,3.591832076661254,10000
mean_width_inclusive,40,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,100,5.956853087996,0.9037149613437802,0.09037149613437802,5.806801055058456,6.106905120933545,5.632253849364673,6.281452326627328,0.9,3.591832076661254,10000
mean_width_inclusive,40,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,100,-3.0714495832813604,3.493121443855237,0.3493121443855237,-3.651444378508414,-2.4914547880543068,-4.3261201482526115,-1.816779018310109,0.9,3.591832076661254,10000
mean_width_inclusive,40,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,100,-0.7348005237896666,0.798202892258447,0.07982028922584469,-0.8673334260909774,-0.6022676214883559,-1.0215015989994343,-0.448099448579899,0.9,3.591832076661254,10000
