metric,base_metric,aggregation,model,n_train,n_repeats,mean,sd,mcse,pointwise_lower,simultaneous_lower,target,qualified,confidence,max_t_critical,bootstrap_draws
coverage_game_equal,coverage,game_equal,lightgbm_multiclass,20,100,0.915762777817204,0.005577516721134794,0.0005577516721134793,0.915043188115613,0.914379944276055,0.9,True,0.9,2.479299678132985,10000
coverage_game_equal,coverage,game_equal,lightgbm_multiclass,40,100,0.91543725635791,0.00493403747208991,0.000493403747208991,0.9148006858679056,0.9142139606062651,0.9,True,0.9,2.479299678132985,10000
coverage_game_equal,coverage,game_equal,lightgbm_multiclass,80,100,0.9141918400188959,0.005706162514148854,0.0005706162514148854,0.9134556529331221,0.9127771113304255,0.9,True,0.9,2.479299678132985,10000
coverage_game_equal,coverage,game_equal,lightgbm_multiclass,160,100,0.9140214437010522,0.005155876959667521,0.0005155876959667521,0.9133562523357285,0.9127431472923925,0.9,True,0.9,2.479299678132985,10000
coverage_game_equal,coverage,game_equal,lightgbm_multiclass,240,100,0.9140979732726702,0.005057594269219356,0.0005057594269219357,0.91344546196111,0.9128440440882899,0.9,True,0.9,2.479299678132985,10000
coverage_game_equal,coverage,game_equal,lightgbm_multiclass,360,100,0.9155894166487792,0.005120639564126155,0.0005120639564126155,0.9149287714763601,0.914319856646462,0.9,True,0.9,2.479299678132985,10000
coverage_game_equal,coverage,game_equal,zoo_cnn,20,100,0.9281852668792898,0.02097478538372184,0.002097478538372184,0.9254791809435872,0.9229849890142128,0.9,True,0.9,2.479299678132985,10000
coverage_game_equal,coverage,game_equal,zoo_cnn,40,100,0.922066212913016,0.01218233665103156,0.0012182336651031561,0.9204944948109116,0.919045846579235,0.9,True,0.9,2.479299678132985,10000
coverage_game_equal,coverage,game_equal,zoo_cnn,80,100,0.9201902856848646,0.007434232432749718,0.0007434232432749718,0.9192311496812791,0.9183471166770963,0.9,True,0.9,2.479299678132985,10000
coverage_game_equal,coverage,game_equal,zoo_cnn,160,100,0.9183052592526111,0.007176313830908051,0.0007176313830908051,0.9173793989125535,0.9165260359954959,0.9,True,0.9,2.479299678132985,10000
coverage_game_equal,coverage,game_equal,zoo_cnn,240,100,0.91900944066443,0.006646346381945153,0.0006646346381945152,0.9181519546811909,0.9173616122198783,0.9,True,0.9,2.479299678132985,10000
coverage_game_equal,coverage,game_equal,zoo_cnn,360,100,0.9188483553360688,0.00749687549887177,0.000749687549887177,0.917881137365631,0.9169896552349333,0.9,True,0.9,2.479299678132985,10000
coverage_game_equal,coverage,game_equal,set_transformer,20,100,0.9255888692853413,0.011219022229753793,0.0011219022229753792,0.9241414342955258,0.9228073374650219,0.9,True,0.9,2.479299678132985,10000
coverage_game_equal,coverage,game_equal,set_transformer,40,100,0.9204092660841395,0.007663836814110795,0.0007663836814110795,0.9194205074085785,0.9185091712694907,0.9,True,0.9,2.479299678132985,10000
coverage_game_equal,coverage,game_equal,set_transformer,80,100,0.9208303590628928,0.007215257930174813,0.0007215257930174813,0.9198994743053083,0.9190414803964999,0.9,True,0.9,2.479299678132985,10000
coverage_game_equal,coverage,game_equal,set_transformer,160,100,0.9236776797571135,0.007336417323723527,0.0007336417323723527,0.9227311634817392,0.9218587620461778,0.9,True,0.9,2.479299678132985,10000
coverage_game_equal,coverage,game_equal,set_transformer,240,100,0.9237653968525211,0.0066181432390021435,0.0006618143239002143,0.922911549530039,0.9221245608122915,0.9,True,0.9,2.479299678132985,10000
