metric,model,n_train,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws,fixed_mean,tuned_mean,relative_change,significant_shift
crps_game_equal,ridge_sgd_l2,20,tuned - fixed,20,-0.00016713384028512946,9.16618315473863e-05,2.049620862820905e-05,-0.0002100328979681412,-0.00012423478260211772,-0.000334664185621944,3.9650505168509903e-07,0.95,8.173723656688466,10000,0.014197758643972446,0.014030624803687317,-0.0117718468440147,False
coverage_game_equal,ridge_sgd_l2,20,tuned - fixed,20,-0.010149865675173814,0.004736421797195681,0.0010590961108641265,-0.012366579311142671,-0.007933152039204956,-0.018806624611250676,-0.001493106739096953,0.95,8.173723656688466,10000,0.9368552556270278,0.9267053899518538,-0.01083397420701943,True
mean_width_game_equal,ridge_sgd_l2,20,tuned - fixed,20,-2.841566550674075,0.5536991037626227,0.12381088350939337,-3.1007057080567746,-2.5824273932913755,-3.8535624981703034,-1.8295706031778465,0.95,8.173723656688466,10000,21.35630818690096,18.514741636226887,-0.1330551388285813,True
mean_width_inclusive_game_equal,ridge_sgd_l2,20,tuned - fixed,20,-2.841566550674075,0.5536991037626224,0.12381088350939333,-3.1007057080567746,-2.5824273932913755,-3.8535624981703034,-1.829570603177847,0.95,8.173723656688466,10000,22.35630818690096,19.514741636226887,-0.1271035685730531,True
crps,set_transformer,20,tuned - fixed,20,-9.790714802100876e-05,0.0002308986760657857,5.1630513559780055e-05,-0.00020597105484308043,1.0156758801062893e-05,-0.0005199206981115576,0.0003241064020695401,0.95,8.173723656688466,10000,0.013913571538787578,0.013815664390766572,-0.007036809186488744,False
coverage,set_transformer,20,tuned - fixed,20,0.007744610360817844,0.012484409138603741,0.002791598749283756,0.001901727028310921,0.013587493693324768,-0.015073146376184725,0.03056236709782041,0.95,8.173723656688466,10000,0.9273890248709973,0.9351336352318154,0.008350983409465239,False
mean_width,set_transformer,20,tuned - fixed,20,1.028160280137199,1.6450089310825127,0.36783517934947646,0.25827240170116716,1.7980481585732306,-1.9784228270738615,4.034743387348259,0.95,8.173723656688466,10000,17.293967734707515,18.322128014844715,0.05945196012328444,False
mean_width_inclusive,set_transformer,20,tuned - fixed,20,1.028160280137199,1.6450089310825127,0.36783517934947646,0.25827240170116716,1.7980481585732306,-1.9784228270738615,4.034743387348259,0.95,8.173723656688466,10000,18.293967734707515,19.322128014844715,0.05620214789088985,False
mean_q,set_transformer,20,tuned - fixed,20,-0.1325057337314884,0.2932167570404098,0.06556526008843963,-0.2697354002301266,0.004723932767149774,-0.6684180511732996,0.4034065837103227,0.95,8.173723656688466,10000,0.39282904374848127,0.2603233100169929,-0.3373114484282597,False
crps_game_equal,set_transformer,20,tuned - fixed,20,-9.703225810573099e-05,0.00023430021601950413,5.239112101624964e-05,-0.00020668813463015578,1.2623618418693795e-05,-0.0005252628033566789,0.00033119828714521694,0.95,8.173723656688466,10000,0.013868094971651299,0.013771062713545567,-0.006996797923873548,False
coverage_game_equal,set_transformer,20,tuned - fixed,20,0.007807161473507934,0.01263579425290587,0.0028254494899198693,0.0018934277265900907,0.013720895220425779,-0.015287281863028461,0.03090160481004433,0.95,8.173723656688466,10000,0.9274854131782477,0.9352925746517557,0.008417557152467609,False
mean_width_game_equal,set_transformer,20,tuned - fixed,20,1.0289203977781,1.651855363797617,0.3693660882449117,0.2558282901988148,1.8020125053573852,-1.9901759356878141,4.048016731244014,0.95,8.173723656688466,10000,17.29575379219977,18.324674189977866,0.059489768999957324,False
mean_width_inclusive_game_equal,set_transformer,20,tuned - fixed,20,1.0289203977781005,1.6518553637976172,0.3693660882449117,0.25582829019881526,1.8020125053573857,-1.9901759356878137,4.048016731244015,0.95,8.173723656688466,10000,18.29575379219977,19.324674189977866,0.05623820748051231,False
crps,zoo_cnn,20,tuned - fixed,20,-0.0004955287360699001,0.0011929228280544435,0.0002667456535441029,-0.0010538338053465602,6.277633320675999e-05,-0.0026758339947621597,0.0016847765226223593,0.95,8.173723656688466,10000,0.0162655074491084,0.0157699787130385,-0.03046500317437454,False
coverage,zoo_cnn,20,tuned - fixed,20,-0.008007054380264727,0.02296295486780968,0.005134672804868214,-0.01875404807236984,0.002739939311840389,-0.04997645095477097,0.03396234219424151,0.95,8.173723656688466,10000,0.9345681318191001,0.9265610774388353,-0.008567651846505092,False
