task_id,model,metric,from_n_train,to_n_train,definition,repeats,change_mean,change_sd,change_mcse,change_median,change_q10,change_q25,change_q75,change_q90,change_iqr
bdb2023_sack,linear_structure,calibration_bias,20,60,value_at_largest_minus_value_at_20,100,-0.00022046630487328105,0.0026041298837724282,0.0002604129883772428,-0.0002495904042005712,-0.003877249155897946,-0.0017548469082361968,0.001628604493968774,0.0027484247211449447,0.0033834514022049707
bdb2023_sack,relnet,calibration_bias,20,60,value_at_largest_minus_value_at_20,100,-0.00036718029875201384,0.002516181746530514,0.0002516181746530514,-0.00011273565159888063,-0.003934398650631015,-0.0019783757107287143,0.0012659380044174203,0.00218089276518336,0.0032443137151461346
bdb2023_sack,set_transformer,calibration_bias,20,60,value_at_largest_minus_value_at_20,100,-0.0005829691742108441,0.0026726387350303354,0.00026726387350303353,-0.0009376719068123641,-0.003741618699013395,-0.002256891061897125,0.0008435522295688093,0.002404697423020692,0.0031004432914659343
bdb2023_sack,attn_relnet,game_equal_calibrated_brier,20,60,value_at_largest_minus_value_at_20,100,-0.0001215217318445263,0.0006165248098452957,6.165248098452956e-05,-9.634434253193158e-05,-0.0008013080289805269,-0.0004844841284173153,0.00019815628985076633,0.0005715807708651382,0.0006826404182680816
bdb2023_sack,boosted_structure,game_equal_calibrated_brier,20,60,value_at_largest_minus_value_at_20,100,-2.8416249509758476e-05,0.0006438268930929989,6.438268930929989e-05,3.061811080128443e-05,-0.0007394980073873139,-0.00032574870204251337,0.0002670354971721096,0.0006597017539813762,0.0005927841992146229
bdb2023_sack,linear_structure,game_equal_calibrated_brier,20,60,value_at_largest_minus_value_at_20,100,1.3357697782986692e-05,0.0009396776551377722,9.396776551377722e-05,-6.299453427108942e-05,-0.0008500379098738943,-0.000504269868447706,0.00038407487374492004,0.0009883461356873463,0.000888344742192626
bdb2023_sack,relnet,game_equal_calibrated_brier,20,60,value_at_largest_minus_value_at_20,100,-9.879391634169801e-05,0.0006273641548565376,6.273641548565375e-05,-8.320270751507874e-05,-0.0008235062965654745,-0.0004266325097643728,0.00022779202776090912,0.0006333066533663591,0.0006544245375252819
bdb2023_sack,set_transformer,game_equal_calibrated_brier,20,60,value_at_largest_minus_value_at_20,100,-8.768504580075609e-05,0.00084419046332698,8.441904633269799e-05,-0.00014112989176182436,-0.0010878000666883763,-0.0005509236083770588,0.000331083235509011,0.0006008440854827314,0.0008820068438860698
bdb2023_sack,attn_relnet,game_equal_calibrated_log_loss,20,60,value_at_largest_minus_value_at_20,100,-0.0010710272886648245,0.002967043415064676,0.0002967043415064676,-0.0010579138167337993,-0.004403898479339291,-0.003028783038914226,0.0005798170508788253,0.002506488389217556,0.0036086000897930515
bdb2023_sack,boosted_structure,game_equal_calibrated_log_loss,20,60,value_at_largest_minus_value_at_20,100,-0.00045546176529716374,0.0029217928521415902,0.00029217928521415904,-0.00034621444696125714,-0.00357555536029486,-0.0017055693095862634,0.001047913601499098,0.0035511989760491805,0.0027534829110853615
bdb2023_sack,linear_structure,game_equal_calibrated_log_loss,20,60,value_at_largest_minus_value_at_20,100,-0.0005863971130254187,0.003435733386882134,0.0003435733386882134,-0.0006704316495665386,-0.0041777593429023095,-0.002220087774966871,0.0008499755341282236,0.00356043663604202,0.0030700633090950946
bdb2023_sack,relnet,game_equal_calibrated_log_loss,20,60,value_at_largest_minus_value_at_20,100,-0.0009783526252482005,0.0029576115674600713,0.00029576115674600714,-0.0010901692537301777,-0.0043092545746789505,-0.002789551870671085,0.0008595800137658691,0.0025370025613890602,0.003649131884436954
bdb2023_sack,set_transformer,game_equal_calibrated_log_loss,20,60,value_at_largest_minus_value_at_20,100,-0.0011595643884384505,0.0037214519665316284,0.0003721451966531628,-0.0011164242845525946,-0.005654537876432164,-0.003454225984432714,0.0010601458407429043,0.002820348200501727,0.0045143718251756185
bdb2023_sack,attn_relnet,game_equal_calibration_bias,20,60,value_at_largest_minus_value_at_20,100,-0.0004045562348053082,0.0026345126936774756,0.00026345126936774756,-0.00042757429353568665,-0.004013056875260238,-0.001995139246087985,0.001448624038035457,0.0025624343237311375,0.003443763284123442
bdb2023_sack,boosted_structure,game_equal_calibration_bias,20,60,value_at_largest_minus_value_at_20,100,-0.0002928413405096515,0.0021156570448493386,0.00021156570448493386,-0.00037980936875970945,-0.003164683062726596,-0.001893778994887019,0.001285241019074142,0.002173880800987273,0.0031790200139611606
bdb2023_sack,linear_structure,game_equal_calibration_bias,20,60,value_at_largest_minus_value_at_20,100,-0.0002872368199287095,0.0026831009308351367,0.0002683100930835137,-0.0002490072387573896,-0.003991093217405719,-0.0019995454859917093,0.0015779885717797713,0.0028868012514861987,0.0035775340577714806
bdb2023_sack,relnet,game_equal_calibration_bias,20,60,value_at_largest_minus_value_at_20,100,-0.00044366210223516873,0.0025835453490972017,0.00025835453490972017,-0.00015856834558117803,-0.0038537806185803586,-0.0022142194083477427,0.001234924372063738,0.0021318576363442165,0.0034491437804114807
bdb2023_sack,set_transformer,game_equal_calibration_bias,20,60,value_at_largest_minus_value_at_20,100,-0.0006558597364929477,0.0027249284022018328,0.0002724928402201833,-0.0010716571775223195,-0.0038892801265293393,-0.0023434075516660454,0.0007225821644003331,0.0024765636941618974,0.0030659897160663784
