task_id,model,n_train,metric,repeats,mean,ribbon_lower,ribbon_upper,ribbon_definition,inferential_interval
bdb2023_sack,attn_relnet,20,game_equal_calibrated_brier,100,0.06284447198390102,0.056763585591583385,0.0688361475999935,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,30,game_equal_calibrated_brier,100,0.06277754290864634,0.05676874756501778,0.06868196845969177,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,40,game_equal_calibrated_brier,100,0.06271878525137564,0.05655108095878259,0.06856569023738115,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,50,game_equal_calibrated_brier,100,0.06268303026617017,0.05618114538678807,0.06880460444282624,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,60,game_equal_calibrated_brier,100,0.06272295025205649,0.05670522441320074,0.06898166899471363,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,10,game_equal_calibrated_brier,100,0.0628716531773971,0.057132151472160025,0.0686949684076512,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,20,game_equal_calibrated_brier,100,0.06293161742879215,0.056693150484501825,0.06950858805725052,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,30,game_equal_calibrated_brier,100,0.06283266895673294,0.056706334289697895,0.06886347007948339,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,40,game_equal_calibrated_brier,100,0.06294384591906634,0.05693297877057061,0.06935342078609191,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,50,game_equal_calibrated_brier,100,0.06290346357035417,0.05689526057369906,0.06883741368175533,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,60,game_equal_calibrated_brier,100,0.0629032011792824,0.05686619903119343,0.06903118023463031,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,10,game_equal_calibrated_brier,100,0.06290277547849525,0.05675261235807386,0.0696923077786827,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,20,game_equal_calibrated_brier,100,0.06300126852538701,0.056574627198810484,0.06963537242282142,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,30,game_equal_calibrated_brier,100,0.06299555266258659,0.05717379372010603,0.06977690666784397,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,40,game_equal_calibrated_brier,100,0.06299834080124421,0.05678170922157614,0.06934390009627961,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,50,game_equal_calibrated_brier,100,0.06295973331325161,0.05699367655450467,0.06839369026034169,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,60,game_equal_calibrated_brier,100,0.06301462622316997,0.05706839674288665,0.06949139622003783,between_repeat_q10_q90,False
bdb2023_sack,relnet,10,game_equal_calibrated_brier,100,0.0628797652710513,0.05678856122369767,0.0688486107630674,between_repeat_q10_q90,False
bdb2023_sack,relnet,20,game_equal_calibrated_brier,100,0.06283214394773184,0.05674029402598159,0.06881010210068268,between_repeat_q10_q90,False
bdb2023_sack,relnet,30,game_equal_calibrated_brier,100,0.06279052065077023,0.056777441241820596,0.06871189298452049,between_repeat_q10_q90,False
bdb2023_sack,relnet,40,game_equal_calibrated_brier,100,0.0627122121031519,0.056646286816801554,0.06858814425081633,between_repeat_q10_q90,False
bdb2023_sack,relnet,50,game_equal_calibrated_brier,100,0.06269442651883089,0.056109697726049824,0.06879402979599837,between_repeat_q10_q90,False
bdb2023_sack,relnet,60,game_equal_calibrated_brier,100,0.06273335003139016,0.05676161918905883,0.0690451048870852,between_repeat_q10_q90,False
bdb2023_sack,set_transformer,10,game_equal_calibrated_brier,100,0.06292301369968428,0.056624750705219586,0.06884527751054781,between_repeat_q10_q90,False
bdb2023_sack,set_transformer,20,game_equal_calibrated_brier,100,0.06285469127645987,0.05670350194715516,0.06856385083000159,between_repeat_q10_q90,False
bdb2023_sack,set_transformer,30,game_equal_calibrated_brier,100,0.06291794570069598,0.05676531117217757,0.06923308945904738,between_repeat_q10_q90,False
bdb2023_sack,set_transformer,40,game_equal_calibrated_brier,100,0.06285824423465128,0.056724888950655895,0.06867516627208892,between_repeat_q10_q90,False
bdb2023_sack,set_transformer,50,game_equal_calibrated_brier,100,0.06264858480186936,0.05683996370003669,0.06834037735653103,between_repeat_q10_q90,False
bdb2023_sack,set_transformer,60,game_equal_calibrated_brier,100,0.06276700623065912,0.056748010571341254,0.06862199400037591,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,10,game_equal_calibrated_log_loss,100,0.24740499971860783,0.2293877361982346,0.2653426130910277,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,20,game_equal_calibrated_log_loss,100,0.2473691561641571,0.22871836264597148,0.2657026725607443,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,30,game_equal_calibrated_log_loss,100,0.24662230652715203,0.22762541671238765,0.26612085490249804,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,40,game_equal_calibrated_log_loss,100,0.24634700281186972,0.22762616198115482,0.26385180351049725,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,50,game_equal_calibrated_log_loss,100,0.24615739027494177,0.2261467581507011,0.26618838893486035,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,60,game_equal_calibrated_log_loss,100,0.2462981288754923,0.2274593288601636,0.2651078175981754,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,10,game_equal_calibrated_log_loss,100,0.2474472110220754,0.22937828176154595,0.26783627638418717,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,20,game_equal_calibrated_log_loss,100,0.2477459288194787,0.22962080377271563,0.2669704309838497,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,30,game_equal_calibrated_log_loss,100,0.24724681296199852,0.22903479877572072,0.2664225692112587,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,40,game_equal_calibrated_log_loss,100,0.2474299497568825,0.2294259941407803,0.26657147152438526,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,50,game_equal_calibrated_log_loss,100,0.24721229388616708,0.2294783424857774,0.2661106126464868,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,60,game_equal_calibrated_log_loss,100,0.2472904670541816,0.22924424991460854,0.2671148922257972,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,10,game_equal_calibrated_log_loss,100,0.24741974366261374,0.2281453562239123,0.2673436856200451,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,20,game_equal_calibrated_log_loss,100,0.2475533509976547,0.22720904386972776,0.2674687131846565,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,30,game_equal_calibrated_log_loss,100,0.24738911986919965,0.22868367514963825,0.2676905643296333,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,40,game_equal_calibrated_log_loss,100,0.24725011250016088,0.22800524043443401,0.26562037000788186,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,50,game_equal_calibrated_log_loss,100,0.24698193514308164,0.22649706972920716,0.2659311934012498,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,60,game_equal_calibrated_log_loss,100,0.2469669538846292,0.22724056112268995,0.2656404003731336,between_repeat_q10_q90,False
bdb2023_sack,relnet,10,game_equal_calibrated_log_loss,100,0.24744929076285968,0.22936708197635233,0.26528977847409374,between_repeat_q10_q90,False
bdb2023_sack,relnet,20,game_equal_calibrated_log_loss,100,0.24733262721639054,0.22851160373879753,0.2652800761920626,between_repeat_q10_q90,False
bdb2023_sack,relnet,30,game_equal_calibrated_log_loss,100,0.24668070531055886,0.22764827817282962,0.26609462620949215,between_repeat_q10_q90,False
bdb2023_sack,relnet,40,game_equal_calibrated_log_loss,100,0.24630926151911872,0.2275775272585495,0.26354801122917015,between_repeat_q10_q90,False
bdb2023_sack,relnet,50,game_equal_calibrated_log_loss,100,0.24620494574517926,0.22595681777682575,0.26590670951103595,between_repeat_q10_q90,False
bdb2023_sack,relnet,60,game_equal_calibrated_log_loss,100,0.24635427459114234,0.22763644693911175,0.2655860642700364,between_repeat_q10_q90,False
bdb2023_sack,set_transformer,10,game_equal_calibrated_log_loss,100,0.24749997149891004,0.22873896253084655,0.26629336360779693,between_repeat_q10_q90,False
bdb2023_sack,set_transformer,20,game_equal_calibrated_log_loss,100,0.2471293827488021,0.22808488096451776,0.26560061888548664,between_repeat_q10_q90,False
bdb2023_sack,set_transformer,30,game_equal_calibrated_log_loss,100,0.2469138744300539,0.22856548154533157,0.2660934843485753,between_repeat_q10_q90,False
bdb2023_sack,set_transformer,40,game_equal_calibrated_log_loss,100,0.2467953279382674,0.2269367567393345,0.26608942279604014,between_repeat_q10_q90,False
bdb2023_sack,set_transformer,50,game_equal_calibrated_log_loss,100,0.24574743749532402,0.22817240465748467,0.26391070225349217,between_repeat_q10_q90,False
bdb2023_sack,set_transformer,60,game_equal_calibrated_log_loss,100,0.2459698183603637,0.22766504434455387,0.26430165614776174,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,10,game_equal_calibration_bias,100,-0.002755693361413865,-0.014064604388058255,0.00847263725617578,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,20,game_equal_calibration_bias,100,-0.003216470979997033,-0.015522000331197779,0.008610582777480396,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,30,game_equal_calibration_bias,100,-0.003514408620133946,-0.015383404783313986,0.00941115049819019,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,40,game_equal_calibration_bias,100,-0.0038063648806317997,-0.015431749359999043,0.007954356675694836,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,50,game_equal_calibration_bias,100,-0.003743694277077238,-0.01617714310227594,0.007846119186191195,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,60,game_equal_calibration_bias,100,-0.003621027214802342,-0.016332925811731975,0.00848542840376062,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,10,game_equal_calibration_bias,100,-0.003137236519215129,-0.014445013319016006,0.007962371132602468,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,20,game_equal_calibration_bias,100,-0.003184661740640718,-0.016181908039539294,0.00905065796330725,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,30,game_equal_calibration_bias,100,-0.003382299596116798,-0.01644689472002679,0.007905450105936239,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,40,game_equal_calibration_bias,100,-0.0034823518490716397,-0.01634573482939862,0.007958134021625539,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,50,game_equal_calibration_bias,100,-0.0033801404356839666,-0.017229907441292644,0.00791009898982727,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,60,game_equal_calibration_bias,100,-0.0034775030811503693,-0.016446553566370436,0.008408305774076866,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,10,game_equal_calibration_bias,100,-0.003182068241819487,-0.014459673475322716,0.008559153918927254,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,20,game_equal_calibration_bias,100,-0.003892976781953637,-0.01633785940429049,0.00797510616293054,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,30,game_equal_calibration_bias,100,-0.003868081561226517,-0.01665763159249808,0.007692617771487423,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,40,game_equal_calibration_bias,100,-0.004231659815792993,-0.018287259922310447,0.007635732400149036,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,50,game_equal_calibration_bias,100,-0.004367975006905342,-0.01754387626344311,0.007628912974090008,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,60,game_equal_calibration_bias,100,-0.004180213601882346,-0.01715333727572582,0.007909460647782076,between_repeat_q10_q90,False
