task_id,model_left,model_right,metric,from_n_train,to_n_train,definition,repeats,difference_in_change_mean,difference_in_change_sd,difference_in_change_mcse,difference_in_change_median,difference_in_change_q10,difference_in_change_q25,difference_in_change_q75,difference_in_change_q90,difference_in_change_iqr,multiplicity_scope
bdb2023_sack,attn_relnet,set_transformer,game_equal_set_doubleton_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,0.009378580670942537,0.16391457960418918,0.016391457960418916,0.012051055796434618,-0.19571279727571167,-0.08745245841740842,0.09622402419088591,0.22311715307125043,0.18367648260829433,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,boosted_structure,attn_relnet,game_equal_set_doubleton_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,0.006834546266499097,0.1680372617010498,0.01680372617010498,0.007504689136461018,-0.1984683390162197,-0.12966739384123024,0.09075511822439758,0.23486154544757906,0.22042251206562782,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,boosted_structure,relnet,game_equal_set_doubleton_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,0.006498361408286778,0.1727489046826571,0.017274890468265712,0.011028717088106543,-0.20419493613933865,-0.11801789904079829,0.09666381456317186,0.22738148062099195,0.21468171360397015,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,boosted_structure,set_transformer,game_equal_set_doubleton_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,0.016213126937441633,0.16480099867385378,0.016480099867385377,0.03443195375426311,-0.1982842053584222,-0.09684496398111508,0.13617718051161998,0.2263975862228772,0.23302214449273506,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,linear_structure,attn_relnet,game_equal_set_doubleton_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,-0.013955902200846335,0.15115255949121026,0.015115255949121026,-0.0173838941903513,-0.17861641128495104,-0.09052397104850393,0.08893302528246014,0.14700134454826352,0.17945699633096407,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,linear_structure,boosted_structure,game_equal_set_doubleton_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,-0.02079044846734543,0.15027924756953462,0.015027924756953462,-0.02806719479144887,-0.1929672648018007,-0.11419808261768255,0.08013410153724107,0.19006825371462424,0.19433218415492362,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,linear_structure,relnet,game_equal_set_doubleton_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,-0.014292087059058654,0.15330172575140652,0.015330172575140652,-0.014678156337523562,-0.20065424057737663,-0.09900127629973934,0.09521178591332935,0.14679232699451844,0.1942130622130687,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,linear_structure,set_transformer,game_equal_set_doubleton_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,-0.0045773215299038,0.13322021965661646,0.013322021965661646,-0.013732333090779536,-0.1546273609032206,-0.08986110502447012,0.06261367905109952,0.16391970057213565,0.15247478407556964,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,relnet,attn_relnet,game_equal_set_doubleton_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,0.0003361848582123189,0.025276636307872302,0.00252766363078723,-0.0012790134322612223,-0.017735097951036942,-0.006715728832886514,0.004443183716775517,0.013496147120765148,0.011158912549662031,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,relnet,set_transformer,game_equal_set_doubleton_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,0.009714765529154856,0.16545003012683798,0.016545003012683798,0.01071109840638379,-0.21009716492278455,-0.08419678367237035,0.09342923022466956,0.22880707003455727,0.1776260138970399,secondary_descriptive_not_in_primary_max_t_family
