task_id,metric,n_train,model_left,model_right,repeats,difference_mean,difference_sd,difference_q10,difference_q90,difference_mcse
bdb2023_sack,primary_loss,20,linear_structure,attn_relnet,100,-0.0006113185640046014,0.003793352841840655,-0.0012676142145271415,0.0007940913351072432,0.0003793352841840655
bdb2023_sack,primary_loss,20,linear_structure,set_transformer,100,-0.0012813774134780745,0.005296020773504129,-0.002239824623546143,0.0005649326929215271,0.0005296020773504129
bdb2023_sack,primary_loss,20,boosted_structure,relnet,100,0.0020503823280551598,0.001298228253718068,0.0005360764484287406,0.0033314233352731057,0.0001298228253718068
bdb2023_sack,primary_loss,20,boosted_structure,attn_relnet,100,0.0017059378748845604,0.0037917439183215184,0.00047875245045070694,0.0033322368478659286,0.0003791743918321518
bdb2023_sack,primary_loss,20,boosted_structure,set_transformer,100,0.001035879025411088,0.0054083480726898545,-0.00048546355054822766,0.0035657047241447622,0.0005408348072689854
bdb2023_sack,primary_loss,20,relnet,attn_relnet,100,-0.0003444444531705986,0.0036847093797492112,-2.1468552067535616e-05,1.5390579292984384e-05,0.0003684709379749211
bdb2023_sack,primary_loss,20,relnet,set_transformer,100,-0.0010145033026440716,0.004981511402284857,-0.0018894986252110952,0.0009660093719234121,0.0004981511402284857
bdb2023_sack,primary_loss,20,attn_relnet,set_transformer,100,-0.000670058849473473,0.0058005980164836605,-0.0016183930540671458,0.0010007552265942966,0.000580059801648366
bdb2023_sack,primary_loss,30,linear_structure,boosted_structure,100,-0.001972166518863184,0.0007918833601421195,-0.00280218774813063,-0.0012567895171788361,7.918833601421195e-05
bdb2023_sack,primary_loss,30,linear_structure,relnet,100,-0.00030969334328737026,0.0010697606741436666,-0.0013270034077989018,0.0005566298702503199,0.00010697606741436665
bdb2023_sack,primary_loss,30,linear_structure,attn_relnet,100,-0.00031582851153485846,0.0010881574597647974,-0.00151214788880824,0.0005713514455763646,0.00010881574597647973
bdb2023_sack,primary_loss,30,linear_structure,set_transformer,100,-0.00036247899732284796,0.0012470335418071346,-0.001537769307507511,0.000660760520976928,0.00012470335418071345
bdb2023_sack,primary_loss,30,boosted_structure,relnet,100,0.0016624731755758143,0.0012056120132253709,0.0007311402712240054,0.0030123966779920706,0.00012056120132253709
bdb2023_sack,primary_loss,30,boosted_structure,attn_relnet,100,0.0016563380073283257,0.0012196219579072287,0.0005481697166802933,0.003003259110639018,0.00012196219579072288
bdb2023_sack,primary_loss,30,boosted_structure,set_transformer,100,0.0016096875215403366,0.0013672738350083572,0.00026914976527723524,0.0029457593851876934,0.00013672738350083572
bdb2023_sack,primary_loss,30,relnet,attn_relnet,100,-6.135168247488193e-06,0.00010383131544923655,-3.1119362883081506e-05,1.3108008315963068e-05,1.0383131544923655e-05
bdb2023_sack,primary_loss,30,relnet,set_transformer,100,-5.27856540354777e-05,0.0013508627040635468,-0.001110420122647296,0.0008739126511674054,0.00013508627040635467
bdb2023_sack,primary_loss,30,attn_relnet,set_transformer,100,-4.6650485787989515e-05,0.0013584191455469367,-0.0011255237774002904,0.0008740458179048675,0.00013584191455469368
bdb2023_sack,primary_loss,40,linear_structure,boosted_structure,100,-0.0016979134669426988,0.0007042981595957827,-0.0026281625844726945,-0.0006780328973669008,7.042981595957826e-05
bdb2023_sack,primary_loss,40,linear_structure,relnet,100,-0.00022768137765519092,0.0010097771779189319,-0.001039326155360036,0.0006325400091681833,0.00010097771779189319
bdb2023_sack,primary_loss,40,linear_structure,attn_relnet,100,-0.0001845726133192791,0.0008249056656658655,-0.0010425491502671995,0.000625604811173186,8.249056656658655e-05
bdb2023_sack,primary_loss,40,linear_structure,set_transformer,100,-0.0003215697411570524,0.0011755010913022644,-0.0016090696137917263,0.0008277888906024842,0.00011755010913022643
bdb2023_sack,primary_loss,40,boosted_structure,relnet,100,0.001470232089287508,0.0010902016965175453,0.0002702010334192845,0.002483426109645639,0.00010902016965175453
bdb2023_sack,primary_loss,40,boosted_structure,attn_relnet,100,0.00151334085362342,0.00097437165685104,0.00027890064298655913,0.002468833058824209,9.743716568510399e-05
bdb2023_sack,primary_loss,40,boosted_structure,set_transformer,100,0.0013763437257856464,0.0012950930476196998,-1.4121789540727274e-07,0.002728585809385423,0.00012950930476196998
bdb2023_sack,primary_loss,40,relnet,attn_relnet,100,4.310876433591182e-05,0.0004839875227888781,-7.288731150975891e-05,1.6920017663117663e-05,4.839875227888781e-05
bdb2023_sack,primary_loss,40,relnet,set_transformer,100,-9.388836350186148e-05,0.0012659219644560052,-0.0014501958262903812,0.0008165611303143167,0.00012659219644560053
bdb2023_sack,primary_loss,40,attn_relnet,set_transformer,100,-0.0001369971278377733,0.001154242282480864,-0.0014475429815022083,0.0007775657331384295,0.0001154242282480864
bdb2023_sack,primary_loss,50,linear_structure,boosted_structure,100,-0.001509763565685553,0.0007929587783645684,-0.002540793343736976,-0.000704950413395501,7.929587783645684e-05
bdb2023_sack,primary_loss,50,linear_structure,relnet,100,-0.00026623734857789523,0.0010112401904162735,-0.0008921686660279711,0.00044412470454967197,0.00010112401904162735
bdb2023_sack,primary_loss,50,linear_structure,attn_relnet,100,-0.00027506521781101473,0.0010181950229224963,-0.0008954170018915936,0.00044017819029294123,0.00010181950229224963
bdb2023_sack,primary_loss,50,linear_structure,set_transformer,100,-0.00018351849904097911,0.0009412557768595824,-0.0012320245298199244,0.0006281570846430996,9.412557768595824e-05
bdb2023_sack,primary_loss,50,boosted_structure,relnet,100,0.0012435262171076574,0.0010245221842302044,0.0003244208931926673,0.002346852829368787,0.00010245221842302043
