task_id,branch,ablation_id,model,n_train,metric,repeats,mean,sd,q10,q90,inferential_family
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,60,game_equal_rms_reliability,20,0.06741812279685114,0.012763245325594273,0.05048656074801163,0.08202532868719689,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,20,game_equal_rms_reliability,20,0.06252059880201412,0.012410823323315931,0.045800955520653476,0.07507809229073788,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,60,game_equal_rms_reliability,20,0.06918333875660862,0.011561526107343352,0.056865492167801276,0.07987940141531692,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,20,game_equal_set_doubleton_rate,20,0.8065181416575531,0.08816873812409368,0.6734266152242799,0.9035676796391784,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,60,game_equal_set_doubleton_rate,20,0.7937003460295368,0.08053645251152064,0.683335882136407,0.8837263455634079,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,20,game_equal_set_doubleton_rate,20,0.8046822339355287,0.084136955507615,0.6779103437462505,0.9020522773861687,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,60,game_equal_set_doubleton_rate,20,0.7926458063901312,0.07957166402032036,0.6708837263729289,0.876761616162177,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,20,game_equal_set_empty_rate,20,0.0,0.0,0.0,0.0,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,60,game_equal_set_empty_rate,20,0.0,0.0,0.0,0.0,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,20,game_equal_set_empty_rate,20,0.0,0.0,0.0,0.0,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,60,game_equal_set_empty_rate,20,0.0,0.0,0.0,0.0,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,20,game_equal_set_singleton_rate,20,0.19348185834244697,0.08816873812409368,0.09643232036082178,0.3265733847757203,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,60,game_equal_set_singleton_rate,20,0.2062996539704633,0.08053645251152061,0.116273654436592,0.3166641178635931,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,20,game_equal_set_singleton_rate,20,0.19531776606447132,0.08413695550761502,0.09794772261383138,0.3220896562537495,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,60,game_equal_set_singleton_rate,20,0.20735419360986876,0.07957166402032036,0.12323838383782311,0.329116273627071,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,20,label0_set_coverage,20,0.905945655107552,0.05978750331779965,0.8117183792121501,0.973167355045775,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,60,label0_set_coverage,20,0.9091333202989229,0.06639196300468686,0.8441269947587869,0.9719182078058456,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,20,label0_set_coverage,20,0.9051363906991663,0.059530583664290156,0.8103326920469185,0.9653932134396583,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,60,label0_set_coverage,20,0.9116154600755889,0.06374926597822274,0.8524264717246495,0.9712776384108279,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,20,label1_set_coverage,20,0.8960648290061053,0.07188168836077599,0.7917005282405526,0.9814577397910731,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,60,label1_set_coverage,20,0.9093881386363453,0.058415632358493536,0.8282982261640799,0.9656007206395676,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,20,label1_set_coverage,20,0.8971183495244148,0.06992277447769017,0.7917005282405526,0.972803893637227,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,60,label1_set_coverage,20,0.9033246675653978,0.06911292079671848,0.8143132220795892,0.980823148813803,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,20,mean_entropy,20,0.24730251897371863,0.0152309635957003,0.23372197958910035,0.2689442194997547,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,60,mean_entropy,20,0.24698849125481098,0.017510007046935963,0.22774427254991947,0.2669513184808507,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,20,mean_entropy,20,0.24697748845964834,0.015569363915077548,0.23262835816479707,0.2694885624881124,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,60,mean_entropy,20,0.24724906560499313,0.017005990775309558,0.2276700507966974,0.2668673837740237,secondary_descriptive_only
