task_id,ablation_id,n_train,metric,model_left,model_right,definition,repeats,mean_difference,difference_sd,difference_q10,difference_q90,inferential_family
bdb2023_sack,collapse_typed_edges,20,calibrated_brier,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,1.7989213205367796e-05,0.00011450864407420449,-5.8990282894282736e-05,4.4376716042342935e-05,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,60,calibrated_brier,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,-7.567616840541552e-05,0.00020612237584551713,-0.00020259487758077368,2.7243028566180444e-05,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,20,calibrated_log_loss,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,5.676205364640447e-05,0.0005958948972848211,-0.00041177281074019354,0.00022330389808280807,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,60,calibrated_log_loss,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,-0.0003447656653219444,0.0009522437841879152,-0.0009796826520657802,0.00015395830662057197,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,20,calibration_bias,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,0.00011899654155105024,0.000529684293142575,-0.0002449053470266948,0.0004476328029442019,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,60,calibration_bias,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,-9.952756753470436e-05,0.0006986813755820352,-0.0005925365683941987,0.0004272122005168233,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,20,game_equal_calibrated_brier,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,1.897793644238706e-05,0.00011566626791863839,-5.868284383303973e-05,5.0658091675341596e-05,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,60,game_equal_calibrated_brier,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,-7.958116500224704e-05,0.0002177925796178102,-0.0002028923137321378,2.3944142090707354e-05,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,20,game_equal_calibrated_log_loss,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,5.9459729168376274e-05,0.0005992689889362709,-0.00041514546895059234,0.00020672405347129977,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,60,game_equal_calibrated_log_loss,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,-0.00037047075401349245,0.0010362490355453292,-0.0009134314029515559,0.00013182599586225043,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,20,game_equal_calibration_bias,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,0.0001206789338383108,0.0005360839021473147,-0.0002710402775328543,0.00044795536125099894,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,60,game_equal_calibration_bias,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,-9.041559720915078e-05,0.0007143503525129607,-0.0006344135134984582,0.0004499307268081354,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,20,game_equal_label0_set_coverage,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,-0.0008552819158570534,0.0030483076554581223,-0.0035329448356101406,0.001443015946835258,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,60,game_equal_label0_set_coverage,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,0.0025140603657142157,0.027363531290036217,-0.005928360774161789,0.00878213688821919,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,20,game_equal_label1_set_coverage,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,0.00015164399092971182,0.008867309036502104,-0.015873015873015827,0.009761904761904841,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,60,game_equal_label1_set_coverage,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,-0.001597222222222222,0.02950406797631827,-0.03541666666666665,0.030357142857142867,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,20,game_equal_loss,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,-6.580844120727611e-06,5.7608068593892876e-05,-2.4406925542497918e-05,9.63271207267553e-06,secondary_descriptive_only
