metric,model,n_train,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws,fixed_mean,tuned_mean,relative_change,significant_shift
coverage_game_equal,ridge_sgd_l2,20,tuned - fixed,50,-0.01008307925281265,0.004986489900040647,0.0007051961645273943,-0.011500224000503679,-0.00866593450512162,-0.012938391433112439,-0.00722776707251286,0.95,4.048961585338955,10000,0.9373977545097203,0.9273146752569077,-0.010756457655572604,True
mean_width_game_equal,ridge_sgd_l2,20,tuned - fixed,50,-2.863691468779082,0.6915169334552247,0.09779526259030318,-3.0602184065309244,-2.6671645310272396,-3.2596607302353555,-2.4677222073228084,0.95,4.048961585338955,10000,21.616499710465863,18.752808241686783,-0.13247711272110324,True
mean_width_inclusive_game_equal,ridge_sgd_l2,20,tuned - fixed,50,-2.863691468779082,0.6915169334552248,0.09779526259030319,-3.0602184065309244,-2.6671645310272396,-3.2596607302353555,-2.4677222073228084,0.95,4.048961585338955,10000,22.616499710465863,19.752808241686783,-0.12661957002364513,True
crps,set_transformer,20,tuned - fixed,50,-0.00011084386790307852,0.00019985205748067968,2.8263349015734455e-05,-0.00016764119412882343,-5.40465416773336e-05,-0.0002252810823408149,3.5933465346578663e-06,0.95,4.048961585338955,10000,0.013943663009150365,0.013832819141247286,-0.007949408116815397,False
coverage,set_transformer,20,tuned - fixed,50,0.009284559757659546,0.013044938294589416,0.0018448328656528504,0.00557722931907182,0.012991890196247271,0.0018149023532603725,0.01675421716205872,0.95,4.048961585338955,10000,0.9259670378934647,0.9352515976511242,0.01002687933555553,True
mean_width,set_transformer,20,tuned - fixed,50,1.1966175779573216,1.837831784665853,0.25990866352347985,0.6743115645113477,1.7189235914032954,0.14425738365396357,2.2489777722606794,0.95,4.048961585338955,10000,17.166233578585754,18.362851156543076,0.06970763694198231,True
mean_width_inclusive,set_transformer,20,tuned - fixed,50,1.1966175779573216,1.837831784665853,0.25990866352347985,0.6743115645113477,1.7189235914032954,0.14425738365396357,2.2489777722606794,0.95,4.048961585338955,10000,18.166233578585754,19.362851156543076,0.06587042783419272,True
mean_q,set_transformer,20,tuned - fixed,50,-0.15305963334806502,0.33573037010513684,0.04747944427032232,-0.24847314870101533,-0.05764611799511472,-0.34530207929184187,0.039182812595711825,0.95,4.048961585338955,10000,0.3621168948647394,0.20905726151667442,-0.42268017736437563,False
crps_game_equal,set_transformer,20,tuned - fixed,50,-0.00011058310053905157,0.00020390326853169112,2.883627677697207e-05,-0.00016853176820493093,-5.2634432873172194e-05,-0.0002273400774732133,6.173876395110166e-06,0.95,4.048961585338955,10000,0.013907618472419152,0.0137970353718801,-0.007951260725073388,False
coverage_game_equal,set_transformer,20,tuned - fixed,50,0.009300433057068009,0.013145708349320325,0.0018590839034610036,0.0055644640858352485,0.013036402028300769,0.0017730737480324103,0.016827792366103607,0.95,4.048961585338955,10000,0.9259618415360528,0.9352622745931208,0.010044078103304748,True
