repeat,model,n_train,metric,contrast,value
2,lightgbm_multiclass,20,coverage,tuned - fixed,0.0
2,lightgbm_multiclass,20,mean_width,tuned - fixed,0.0
2,lightgbm_multiclass,20,mean_width_inclusive,tuned - fixed,0.0
2,lightgbm_multiclass,20,mean_q,tuned - fixed,0.0
2,lightgbm_multiclass,20,crps_game_equal,tuned - fixed,0.0
2,lightgbm_multiclass,20,coverage_game_equal,tuned - fixed,0.0
2,lightgbm_multiclass,20,mean_width_game_equal,tuned - fixed,0.0
2,lightgbm_multiclass,20,mean_width_inclusive_game_equal,tuned - fixed,0.0
2,ridge_sgd_l2,20,crps,tuned - fixed,-6.335529980943874e-05
2,ridge_sgd_l2,20,coverage,tuned - fixed,-0.01822580645161287
2,ridge_sgd_l2,20,mean_width,tuned - fixed,-3.9395161290322562
2,ridge_sgd_l2,20,mean_width_inclusive,tuned - fixed,-3.9395161290322562
2,ridge_sgd_l2,20,mean_q,tuned - fixed,0.15419354838709676
2,ridge_sgd_l2,20,crps_game_equal,tuned - fixed,-6.628081306585439e-05
2,ridge_sgd_l2,20,coverage_game_equal,tuned - fixed,-0.017599295049984143
2,ridge_sgd_l2,20,mean_width_game_equal,tuned - fixed,-3.8947082296190096
2,ridge_sgd_l2,20,mean_width_inclusive_game_equal,tuned - fixed,-3.8947082296190096
2,set_transformer,20,crps,tuned - fixed,4.053390661833134e-08
2,set_transformer,20,coverage,tuned - fixed,0.0
2,set_transformer,20,mean_width,tuned - fixed,-0.0006451612903219939
2,set_transformer,20,mean_width_inclusive,tuned - fixed,-0.0006451612903219939
2,set_transformer,20,mean_q,tuned - fixed,-0.0001612903225806095
2,set_transformer,20,crps_game_equal,tuned - fixed,4.195245245121326e-08
2,set_transformer,20,coverage_game_equal,tuned - fixed,0.0
2,set_transformer,20,mean_width_game_equal,tuned - fixed,-0.0005079699820171868
2,set_transformer,20,mean_width_inclusive_game_equal,tuned - fixed,-0.0005079699820171868
2,zoo_cnn,20,crps,tuned - fixed,-1.417315244334194e-09
2,zoo_cnn,20,coverage,tuned - fixed,0.0
2,zoo_cnn,20,mean_width,tuned - fixed,0.00032258064516099694
2,zoo_cnn,20,mean_width_inclusive,tuned - fixed,0.00032258064516099694
2,zoo_cnn,20,mean_q,tuned - fixed,0.0
2,zoo_cnn,20,crps_game_equal,tuned - fixed,-1.1025571046430205e-09
2,zoo_cnn,20,coverage_game_equal,tuned - fixed,0.0
2,zoo_cnn,20,mean_width_game_equal,tuned - fixed,0.0003245722858551403
2,zoo_cnn,20,mean_width_inclusive_game_equal,tuned - fixed,0.0003245722858551403
2,lightgbm_multiclass,160,crps,tuned - fixed,0.0
2,lightgbm_multiclass,160,coverage,tuned - fixed,0.0
2,lightgbm_multiclass,160,mean_width,tuned - fixed,0.0
2,lightgbm_multiclass,160,mean_width_inclusive,tuned - fixed,0.0
2,lightgbm_multiclass,160,mean_q,tuned - fixed,0.0
2,lightgbm_multiclass,160,crps_game_equal,tuned - fixed,0.0
2,lightgbm_multiclass,160,coverage_game_equal,tuned - fixed,0.0
2,lightgbm_multiclass,160,mean_width_game_equal,tuned - fixed,0.0
2,lightgbm_multiclass,160,mean_width_inclusive_game_equal,tuned - fixed,0.0
2,ridge_sgd_l2,160,crps,tuned - fixed,-0.00031294774457799567
2,ridge_sgd_l2,160,coverage,tuned - fixed,-0.013548387096774195
2,ridge_sgd_l2,160,mean_width,tuned - fixed,-3.1350000000000016
2,ridge_sgd_l2,160,mean_width_inclusive,tuned - fixed,-3.1350000000000016
2,ridge_sgd_l2,160,mean_q,tuned - fixed,-0.16241935483870967
2,ridge_sgd_l2,160,crps_game_equal,tuned - fixed,-0.0003125858852739208
2,ridge_sgd_l2,160,coverage_game_equal,tuned - fixed,-0.013577238922588553
2,ridge_sgd_l2,160,mean_width_game_equal,tuned - fixed,-3.103699962269104
2,ridge_sgd_l2,160,mean_width_inclusive_game_equal,tuned - fixed,-3.103699962269104
2,set_transformer,160,crps,tuned - fixed,9.995576562881262e-06
2,set_transformer,160,coverage,tuned - fixed,0.005967741935483883
2,set_transformer,160,mean_width,tuned - fixed,-0.03016129032257986
2,set_transformer,160,mean_width_inclusive,tuned - fixed,-0.03016129032257986
2,set_transformer,160,mean_q,tuned - fixed,0.009677419354838707
2,set_transformer,160,crps_game_equal,tuned - fixed,2.072447751774731e-05
2,set_transformer,160,coverage_game_equal,tuned - fixed,0.005650543122599716
2,set_transformer,160,mean_width_game_equal,tuned - fixed,-0.023027398415006672
2,set_transformer,160,mean_width_inclusive_game_equal,tuned - fixed,-0.023027398415006672
2,zoo_cnn,160,crps,tuned - fixed,-4.596156199671367e-05
2,zoo_cnn,160,coverage,tuned - fixed,0.001612903225806539
2,zoo_cnn,160,mean_width,tuned - fixed,0.36725806451612897
2,zoo_cnn,160,mean_width_inclusive,tuned - fixed,0.36725806451612897
2,zoo_cnn,160,mean_q,tuned - fixed,-0.8317741935483871
2,zoo_cnn,160,crps_game_equal,tuned - fixed,-4.673702261579968e-05
2,zoo_cnn,160,coverage_game_equal,tuned - fixed,0.0012728734162373856
2,zoo_cnn,160,mean_width_game_equal,tuned - fixed,0.3465434260514879
2,zoo_cnn,160,mean_width_inclusive_game_equal,tuned - fixed,0.34654342605148614
2,lightgbm_multiclass,360,crps,tuned - fixed,0.0
2,lightgbm_multiclass,360,coverage,tuned - fixed,0.0
2,lightgbm_multiclass,360,mean_width,tuned - fixed,0.0
2,lightgbm_multiclass,360,mean_width_inclusive,tuned - fixed,0.0
2,lightgbm_multiclass,360,mean_q,tuned - fixed,0.0
2,lightgbm_multiclass,360,crps_game_equal,tuned - fixed,0.0
2,lightgbm_multiclass,360,coverage_game_equal,tuned - fixed,0.0
2,lightgbm_multiclass,360,mean_width_game_equal,tuned - fixed,0.0
2,lightgbm_multiclass,360,mean_width_inclusive_game_equal,tuned - fixed,0.0
2,ridge_sgd_l2,360,crps,tuned - fixed,-0.00032169741602292024
2,ridge_sgd_l2,360,coverage,tuned - fixed,-0.013709677419354804
2,ridge_sgd_l2,360,mean_width,tuned - fixed,-3.0606451612903207
2,ridge_sgd_l2,360,mean_width_inclusive,tuned - fixed,-3.0606451612903207
2,ridge_sgd_l2,360,mean_q,tuned - fixed,-0.1467741935483871
2,ridge_sgd_l2,360,crps_game_equal,tuned - fixed,-0.00032064879584980596
2,ridge_sgd_l2,360,coverage_game_equal,tuned - fixed,-0.01371564639491385
2,ridge_sgd_l2,360,mean_width_game_equal,tuned - fixed,-3.0306660276040702
2,ridge_sgd_l2,360,mean_width_inclusive_game_equal,tuned - fixed,-3.0306660276040738
2,set_transformer,360,crps,tuned - fixed,-9.096994472318314e-05
2,set_transformer,360,coverage,tuned - fixed,0.012741935483870925
2,set_transformer,360,mean_width,tuned - fixed,0.7719354838709691
2,set_transformer,360,mean_width_inclusive,tuned - fixed,0.7719354838709691
2,set_transformer,360,mean_q,tuned - fixed,-0.020483870967741936
2,set_transformer,360,crps_game_equal,tuned - fixed,-8.474559472932026e-05
2,set_transformer,360,coverage_game_equal,tuned - fixed,0.01280406788189159
2,set_transformer,360,mean_width_game_equal,tuned - fixed,0.7695682681875002
2,set_transformer,360,mean_width_inclusive_game_equal,tuned - fixed,0.7695682681874985
2,zoo_cnn,360,crps,tuned - fixed,8.6893829170296e-05
2,zoo_cnn,360,coverage,tuned - fixed,0.0020967741935484785
2,zoo_cnn,360,mean_width,tuned - fixed,-0.2001612903225798
2,zoo_cnn,360,mean_width_inclusive,tuned - fixed,-0.2001612903225798
2,zoo_cnn,360,mean_q,tuned - fixed,-0.2651612903225807
2,zoo_cnn,360,crps_game_equal,tuned - fixed,8.745855873607163e-05
2,zoo_cnn,360,coverage_game_equal,tuned - fixed,0.002112213250294981
2,zoo_cnn,360,mean_width_game_equal,tuned - fixed,-0.20866520984653647
2,zoo_cnn,360,mean_width_inclusive_game_equal,tuned - fixed,-0.20866520984653825
3,lightgbm_multiclass,20,crps,tuned - fixed,0.0
3,lightgbm_multiclass,20,coverage,tuned - fixed,0.0
3,lightgbm_multiclass,20,mean_width,tuned - fixed,0.0
3,lightgbm_multiclass,20,mean_width_inclusive,tuned - fixed,0.0
3,lightgbm_multiclass,20,mean_q,tuned - fixed,0.0
3,lightgbm_multiclass,20,crps_game_equal,tuned - fixed,0.0
3,lightgbm_multiclass,20,coverage_game_equal,tuned - fixed,0.0
3,lightgbm_multiclass,20,mean_width_game_equal,tuned - fixed,0.0
3,lightgbm_multiclass,20,mean_width_inclusive_game_equal,tuned - fixed,0.0
3,ridge_sgd_l2,20,crps,tuned - fixed,-8.300188819451194e-05
3,ridge_sgd_l2,20,coverage,tuned - fixed,-0.0053562733322513045
3,ridge_sgd_l2,20,mean_width,tuned - fixed,-2.5695503976627165
3,ridge_sgd_l2,20,mean_width_inclusive,tuned - fixed,-2.5695503976627165
3,ridge_sgd_l2,20,mean_q,tuned - fixed,-0.05437428988800519
3,ridge_sgd_l2,20,crps_game_equal,tuned - fixed,-7.852787020539917e-05
3,ridge_sgd_l2,20,coverage_game_equal,tuned - fixed,-0.005322255901105799
3,ridge_sgd_l2,20,mean_width_game_equal,tuned - fixed,-2.5459440790336814
3,ridge_sgd_l2,20,mean_width_inclusive_game_equal,tuned - fixed,-2.5459440790336814
3,set_transformer,20,crps,tuned - fixed,1.704276705871699e-08
3,set_transformer,20,coverage,tuned - fixed,0.0
3,set_transformer,20,mean_width,tuned - fixed,-0.0012984905047908057
3,set_transformer,20,mean_width_inclusive,tuned - fixed,-0.0012984905047908057
3,set_transformer,20,mean_q,tuned - fixed,-0.0003246226261970353
3,set_transformer,20,crps_game_equal,tuned - fixed,1.2095303415088354e-08
3,set_transformer,20,coverage_game_equal,tuned - fixed,0.0
3,set_transformer,20,mean_width_game_equal,tuned - fixed,-0.0012337980676342397
3,set_transformer,20,mean_width_inclusive_game_equal,tuned - fixed,-0.0012337980676342397
3,zoo_cnn,20,crps,tuned - fixed,-0.0007779582979634686
3,zoo_cnn,20,coverage,tuned - fixed,-0.007304009089433516
3,zoo_cnn,20,mean_width,tuned - fixed,-2.9855542931342285
