metric,n_train,model_a,model_b,contrast,fixed_mean_difference,fixed_lower,fixed_upper,tuned_mean_difference,tuned_lower,tuned_upper,estimand_type,fixed_eligible,tuned_eligible,fixed_conclusion,tuned_conclusion,conclusion_state_changed,conclusion_changed
crps,160,zoo_cnn,set_transformer,zoo_cnn - set_transformer,0.0006252425759763841,0.0003478803977307241,0.0009026047542220442,0.0005360513718452776,0.000409428631314868,0.0006626741123756872,crps,True,True,opposite,opposite,False,False
mean_width,160,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,7.755111750293203,7.503213531224211,8.007009969362194,4.849943431386263,4.631345501320432,5.068541361452095,coverage_qualified_width,True,True,opposite,opposite,False,False
mean_width,160,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,6.541577546245572,5.771171868361412,7.311983224129731,3.6664872681982636,3.1205256914406476,4.21244884495588,coverage_qualified_width,True,True,opposite,opposite,False,False
mean_width,160,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,6.943083868206571,6.4947623296907135,7.391405406722429,4.132502490927572,3.783013919510449,4.4819910623446955,coverage_qualified_width,True,True,opposite,opposite,False,False
mean_width,160,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,-1.213534204047634,-1.946084475712154,-0.4809839323831139,-1.1834561631879996,-1.716060747422952,-0.6508515789530473,coverage_qualified_width,True,True,supported,supported,False,False
mean_width,160,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,-0.8120278820866315,-1.2232646106852125,-0.40079115348805044,-0.7174409404586912,-1.0306121127507955,-0.40426976816658694,coverage_qualified_width,True,True,supported,supported,False,False
mean_width,160,zoo_cnn,set_transformer,zoo_cnn - set_transformer,0.40150632196100167,-0.4132911009650646,1.216303744887068,0.4660152227293083,-0.14192516284741574,1.0739556083060324,coverage_qualified_width,True,True,inconclusive,inconclusive,False,False
mean_width_inclusive,160,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,7.755111750293203,7.503213531224211,8.007009969362194,4.849943431386263,4.631345501320432,5.068541361452095,coverage_qualified_width,True,True,opposite,opposite,False,False
mean_width_inclusive,160,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,6.541577546245572,5.771171868361412,7.311983224129731,3.666487268198263,3.120525691440647,4.21244884495588,coverage_qualified_width,True,True,opposite,opposite,False,False
mean_width_inclusive,160,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,6.943083868206574,6.494762329690716,7.3914054067224315,4.132502490927572,3.7830139195104486,4.4819910623446955,coverage_qualified_width,True,True,opposite,opposite,False,False
mean_width_inclusive,160,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,-1.213534204047634,-1.946084475712154,-0.4809839323831139,-1.1834561631879994,-1.716060747422952,-0.6508515789530469,coverage_qualified_width,True,True,supported,supported,False,False
mean_width_inclusive,160,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,-0.8120278820866318,-1.2232646106852127,-0.40079115348805083,-0.7174409404586912,-1.0306121127507955,-0.40426976816658694,coverage_qualified_width,True,True,supported,supported,False,False
mean_width_inclusive,160,zoo_cnn,set_transformer,zoo_cnn - set_transformer,0.40150632196100183,-0.41329110096506455,1.2163037448870682,0.46601522272930856,-0.14192516284741546,1.0739556083060326,coverage_qualified_width,True,True,inconclusive,inconclusive,False,False
crps_game_equal,160,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,0.0006222035051114761,0.0005867268641028827,0.0006576801461200695,0.0003118281310841351,0.0002840097802879376,0.00033964648188033255,crps,True,True,opposite,opposite,False,False
crps_game_equal,160,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,0.000705420069011285,0.0004360488794489877,0.0009747912585735823,0.0005602382829930661,0.00043684834322338666,0.0006836282227627455,crps,True,True,opposite,opposite,False,False
crps_game_equal,160,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,0.0013375792729689224,0.001262206931388018,0.0014129516145498268,0.0011013312632772083,0.0010547747335782462,0.0011478877929761704,crps,True,True,opposite,opposite,False,False
crps_game_equal,160,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,8.321656389980895e-05,-0.00018691444423588331,0.0003533475720355012,0.00024841015190893103,0.00012543123224792135,0.0003713890715699407,crps,True,True,inconclusive,opposite,True,False
crps_game_equal,160,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,0.0007153757678574464,0.0006382746543897417,0.0007924768813251512,0.0007895031321930732,0.0007427662717786028,0.0008362399926075436,crps,True,True,opposite,opposite,False,False
crps_game_equal,160,zoo_cnn,set_transformer,zoo_cnn - set_transformer,0.0006321592039576372,0.0003497812306017029,0.0009145371773135716,0.000541092980284142,0.00041297860053980673,0.0006692073600284773,crps,True,True,opposite,opposite,False,False
mean_width_game_equal,160,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,7.678220346584613,7.4300460138265985,7.926394679342628,4.79564274840339,4.578509144166342,5.012776352640437,coverage_qualified_width,True,True,opposite,opposite,False,False
mean_width_game_equal,160,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,6.456819358295089,5.6783687043261235,7.2352700122640545,3.604051532356395,3.051406195079124,4.156696869633667,coverage_qualified_width,True,True,opposite,opposite,False,False
mean_width_game_equal,160,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,6.871473767188707,6.425892541815842,7.317054992561572,4.083672541127676,3.7350997746338055,4.432245307621547,coverage_qualified_width,True,True,opposite,opposite,False,False
mean_width_game_equal,160,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,-1.2214009882895245,-1.9592535836252554,-0.4835483929537936,-1.1915912160469946,-1.7270128863879777,-0.6561695457060115,coverage_qualified_width,True,True,supported,supported,False,False
mean_width_game_equal,160,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,-0.8067465793959079,-1.217971408837618,-0.39552174995419787,-0.7119702072757133,-1.0254435491752791,-0.39849686537614726,coverage_qualified_width,True,True,supported,supported,False,False
mean_width_game_equal,160,zoo_cnn,set_transformer,zoo_cnn - set_transformer,0.4146544088936167,-0.40452537393065724,1.2338341917178908,0.4796210087712813,-0.13133828318857405,1.0905803007311365,coverage_qualified_width,True,True,inconclusive,inconclusive,False,False
mean_width_inclusive_game_equal,160,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,7.678220346584613,7.430046013826598,7.9263946793426285,4.79564274840339,4.578509144166342,5.012776352640437,coverage_qualified_width,True,True,opposite,opposite,False,False
mean_width_inclusive_game_equal,160,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,6.456819358295089,5.6783687043261235,7.2352700122640545,3.6040515323563955,3.051406195079124,4.156696869633667,coverage_qualified_width,True,True,opposite,opposite,False,False
mean_width_inclusive_game_equal,160,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,6.871473767188707,6.425892541815842,7.317054992561572,4.083672541127676,3.7350997746338055,4.432245307621547,coverage_qualified_width,True,True,opposite,opposite,False,False
mean_width_inclusive_game_equal,160,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,-1.2214009882895245,-1.9592535836252556,-0.4835483929537935,-1.1915912160469941,-1.7270128863879775,-0.6561695457060108,coverage_qualified_width,True,True,supported,supported,False,False
mean_width_inclusive_game_equal,160,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,-0.8067465793959075,-1.2179714088376177,-0.3955217499541975,-0.7119702072757136,-1.0254435491752796,-0.3984968653761476,coverage_qualified_width,True,True,supported,supported,False,False
mean_width_inclusive_game_equal,160,zoo_cnn,set_transformer,zoo_cnn - set_transformer,0.41465440889361704,-0.4045253739306569,1.233834191717891,0.47962100877128144,-0.13133828318857388,1.0905803007311368,coverage_qualified_width,True,True,inconclusive,inconclusive,False,False
crps,360,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,0.0008750497077214589,0.0008437755444711784,0.0009063238709717395,0.0005527967992251367,0.0005283555460774222,0.0005772380523728513,crps,True,True,opposite,opposite,False,False
crps,360,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,0.0012790042954168815,0.0011035980210303237,0.0014544105698034394,0.001098855814590346,0.000992003743028746,0.0012057078861519462,crps,True,True,opposite,opposite,False,False
crps,360,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,0.0017038748011912858,0.0016589723546169331,0.0017487772477656385,0.0014741764443489498,0.0014187153355441895,0.00152963755315371,crps,True,True,opposite,opposite,False,False
crps,360,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,0.0004039545876954224,0.0002359717936483197,0.0005719373817425252,0.0005460590153652095,0.0004459402107974136,0.0006461778199330054,crps,True,True,opposite,opposite,False,False
crps,360,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,0.0008288250934698268,0.0007789800320743736,0.0008786701548652799,0.0009213796451238129,0.000866257243406694,0.0009765020468409318,crps,True,True,opposite,opposite,False,False
crps,360,zoo_cnn,set_transformer,zoo_cnn - set_transformer,0.0004248705057744047,0.00026008405473753715,0.0005896569568112723,0.00037532062975860356,0.0002644460649997032,0.0004861951945175039,crps,True,True,opposite,opposite,False,False
mean_width,360,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,7.950954323619101,7.71443421867398,8.187474428564222,5.04288627169804,4.867067860523887,5.218704682872193,coverage_qualified_width,True,True,opposite,opposite,False,False
mean_width,360,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,7.644510642724856,7.1590193281793635,8.130001957270348,4.796400371067997,4.387841208658078,5.204959533477916,coverage_qualified_width,True,True,opposite,opposite,False,False
mean_width,360,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,7.08364977676287,6.687237306224368,7.4800622473013725,4.406161832526647,4.1606329382866365,4.651690726766657,coverage_qualified_width,True,True,opposite,opposite,False,False
mean_width,360,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,-0.3064436808942437,-0.8006719193053323,0.18778455751684497,-0.2464859006300428,-0.6547924995949131,0.1618206983348275,coverage_qualified_width,True,True,inconclusive,inconclusive,False,False
mean_width,360,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,-0.8673045468562296,-1.313165295530558,-0.42144379818190114,-0.6367244391713912,-0.906489982320303,-0.36695889602247944,coverage_qualified_width,True,True,supported,supported,False,False
mean_width,360,zoo_cnn,set_transformer,zoo_cnn - set_transformer,-0.5608608659619858,-1.093732988389115,-0.027988743534856697,-0.39023853854134843,-0.8309974525807731,0.05052037549807625,coverage_qualified_width,True,True,supported,inconclusive,True,True
mean_width_inclusive,360,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,7.950954323619101,7.71443421867398,8.187474428564222,5.04288627169804,4.867067860523887,5.218704682872193,coverage_qualified_width,True,True,opposite,opposite,False,False
mean_width_inclusive,360,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,7.644510642724856,7.1590193281793635,8.130001957270348,4.796400371067997,4.387841208658078,5.204959533477916,coverage_qualified_width,True,True,opposite,opposite,False,False
mean_width_inclusive,360,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,7.08364977676287,6.687237306224368,7.4800622473013725,4.406161832526647,4.1606329382866365,4.651690726766657,coverage_qualified_width,True,True,opposite,opposite,False,False
mean_width_inclusive,360,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,-0.3064436808942436,-0.8006719193053322,0.18778455751684492,-0.24648590063004275,-0.6547924995949129,0.16182069833482746,coverage_qualified_width,True,True,inconclusive,inconclusive,False,False
mean_width_inclusive,360,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,-0.8673045468562293,-1.3131652955305575,-0.421443798181901,-0.6367244391713912,-0.906489982320303,-0.3669588960224795,coverage_qualified_width,True,True,supported,supported,False,False
mean_width_inclusive,360,zoo_cnn,set_transformer,zoo_cnn - set_transformer,-0.560860865961986,-1.0937329883891151,-0.02798874353485692,-0.39023853854134827,-0.8309974525807728,0.05052037549807631,coverage_qualified_width,True,True,supported,inconclusive,True,True
crps_game_equal,360,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,0.000882684109015823,0.0008522612865710074,0.0009131069314606386,0.0005617090298787407,0.0005377963359730753,0.0005856217237844061,crps,True,True,opposite,opposite,False,False
crps_game_equal,360,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,0.0012745019082067183,0.0011004174780109201,0.0014485863384025165,0.0010944148523053987,0.000989328975280364,0.0011995007293304333,crps,True,True,opposite,opposite,False,False
crps_game_equal,360,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,0.0016955755388891331,0.0016500601453849472,0.001741090932393319,0.0014674157187668407,0.0014102220015231625,0.0015246094360105188,crps,True,True,opposite,opposite,False,False
crps_game_equal,360,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,0.0003918177991908954,0.00022555949671924566,0.0005580761016625452,0.0005327058224266581,0.00043490196276364595,0.0006305096820896702,crps,True,True,opposite,opposite,False,False
