branch,coverage,coverage_game_equal,crps,crps_game_equal,elapsed_seconds,execution_queue,manifest_hash,mean_q,mean_width,mean_width_game_equal,mean_width_inclusive,mean_width_inclusive_game_equal,model,model_config_hash,model_display_name,n_calibration,n_test,n_test_games,n_train,n_train_plays,parameter_count,repeat,std_q,std_width,timestamp_utc
main,0.9132331555986427,0.9140007136880184,0.014980674710084341,0.014868609346468418,17.804081890033558,gpu_neural,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,2.669898206495395,15.84343189529811,15.857333278062098,16.84343189529811,16.857333278062097,zoo_cnn,219344d288a1f6230782c6839c7a9758e13c3625ddae1b87e29779a206a56278,Zoo CNN,6242,6189,137,40,1788,145584,54,0.8176109857144208,5.299060263350403,2026-08-20T08:31:47.018871+00:00
main,0.9109710777185329,0.9116602478032754,0.01398739671103548,0.013898652554991299,16.818772489205003,cpu_tabular,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,2.3788980449184036,14.239457101308775,14.243811558756866,15.239457101308775,15.243811558756866,lightgbm_multiclass,5689446e19bdea1df411111e1e4b5cc50183c270622d0757b33c51d0a5938a1c,LightGBM,6242,6189,137,80,3511,10800,54,0.48515188058086295,4.508146841054259,2026-08-20T06:10:28.613329+00:00
main,0.9358539343997415,0.9353578460999458,0.014406830562497863,0.014327250292515132,39.280206642113626,cpu_tabular,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,0.4469219583131362,21.599773792211987,21.53384885161409,22.599773792211987,22.53384885161409,ridge_sgd_l2,851f14fb6b5ecda88baab0b92a7a36c949fdd0437766fc7d2433f329e2fde2f3,L2 one-vs-rest logistic,6242,6189,137,80,3511,3280,54,0.7567637121212241,9.051026431159524,2026-08-20T06:10:06.175835+00:00
main,0.9214735821619001,0.9218820478235908,0.013420031049403156,0.013346589835727118,54.93305993289687,gpu_neural,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,0.6044595249636452,15.11326547099693,15.131953891536547,16.11326547099693,16.131953891536547,set_transformer,6f4dec421d8ca8a60ca233da0707302c871aa8127caae786bc585c163e11c567,Set Transformer,6242,6189,137,80,3511,157416,54,0.8139575998312474,3.8902527013408084,2026-08-20T08:33:53.957962+00:00
main,0.9132331555986427,0.9131466878918705,0.01413224270855322,0.014069157144410096,20.628874733112752,gpu_neural,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,1.4797220875747294,15.503797059298757,15.516842796732167,16.503797059298755,16.516842796732167,zoo_cnn,219344d288a1f6230782c6839c7a9758e13c3625ddae1b87e29779a206a56278,Zoo CNN,6242,6189,137,80,3511,145584,54,0.49962900295437707,4.878106319257078,2026-08-20T08:32:56.329190+00:00
main,0.9127484246243335,0.9140017600431689,0.013725759118424018,0.013631466753043385,23.093406327068806,cpu_tabular,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,2.1360478267894654,14.036677977056067,14.061859727477854,15.036677977056067,15.061859727477856,lightgbm_multiclass,5689446e19bdea1df411111e1e4b5cc50183c270622d0757b33c51d0a5938a1c,LightGBM,6242,6189,137,160,7151,12000,54,0.6711633198995237,3.9016404257893744,2026-08-20T06:12:17.601892+00:00
main,0.9345613184682501,0.93392378649058,0.014385553136483797,0.014306074497109324,74.66202207095921,cpu_tabular,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,0.46356438843108744,21.28712231378252,21.224709948923994,22.28712231378252,22.224709948923994,ridge_sgd_l2,851f14fb6b5ecda88baab0b92a7a36c949fdd0437766fc7d2433f329e2fde2f3,L2 one-vs-rest logistic,6242,6189,137,160,7151,3280,54,0.7317079586689254,8.83654250596155,2026-08-20T06:11:48.814371+00:00
main,0.9250282759735013,0.9259346638451562,0.012935907463448961,0.012862886026977525,114.76009567314759,gpu_neural,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,0.04572628857650671,14.446921958313137,14.473823106163103,15.446921958313137,15.473823106163103,set_transformer,6f4dec421d8ca8a60ca233da0707302c871aa8127caae786bc585c163e11c567,Set Transformer,6242,6189,137,160,7151,157416,54,0.20890774692376882,4.888508315690016,2026-08-20T08:36:26.499362+00:00
main,0.924866698982065,0.9252601638446749,0.013474067987429164,0.013408367730263384,32.5764033079613,gpu_neural,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,0.4217159476490548,15.822103732428502,15.861903897439559,16.822103732428502,16.86190389743956,zoo_cnn,219344d288a1f6230782c6839c7a9758e13c3625ddae1b87e29779a206a56278,Zoo CNN,6242,6189,137,160,7151,145584,54,0.4938734833496422,6.8457369071871765,2026-08-20T08:34:29.157968+00:00
main,0.9132331555986427,0.9140729971919679,0.013600316256230753,0.013507085267543602,28.779347679112107,cpu_tabular,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,1.814671190822427,13.948780093714655,13.965387729276037,14.948780093714655,14.965387729276035,lightgbm_multiclass,5689446e19bdea1df411111e1e4b5cc50183c270622d0757b33c51d0a5938a1c,LightGBM,6242,6189,137,240,10807,12800,54,0.7135256944163453,4.000257815093724,2026-08-20T06:14:47.486099+00:00
main,0.9342381644853773,0.9336184042566937,0.014380898143065087,0.014299862698017599,109.97808476304635,cpu_tabular,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,0.38665374050735174,21.38309904669575,21.321684450177415,22.38309904669575,22.321684450177415,ridge_sgd_l2,851f14fb6b5ecda88baab0b92a7a36c949fdd0437766fc7d2433f329e2fde2f3,L2 one-vs-rest logistic,6242,6189,137,240,10807,3280,54,0.6597850817250179,8.751347409048863,2026-08-20T06:14:13.144459+00:00
main,0.9177573113588625,0.9181380699828701,0.012895139773965376,0.012807555895775797,159.93604448018596,gpu_neural,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,0.08822103732428502,13.49684924866699,13.519757721048014,14.49684924866699,14.519757721048013,set_transformer,6f4dec421d8ca8a60ca233da0707302c871aa8127caae786bc585c163e11c567,Set Transformer,6242,6189,137,240,10807,157416,54,0.28363900462026526,4.596364400416254,2026-08-20T08:39:52.888854+00:00
main,0.9132331555986427,0.9141336462106334,0.013086302485126359,0.012989965970923001,41.11802855692804,gpu_neural,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,1.0135724672806592,13.075294878009371,13.097855710444085,14.075294878009371,14.097855710444083,zoo_cnn,219344d288a1f6230782c6839c7a9758e13c3625ddae1b87e29779a206a56278,Zoo CNN,6242,6189,137,240,10807,145584,54,0.4781691666121749,3.9862585675011126,2026-08-20T08:37:10.308817+00:00
