task_id,metric,n_train,model,mean_coverage,standard_error,simultaneous_lower,target_coverage,coverage_controlled,confidence_level,sidedness,max_t_critical,bootstrap_draws,bootstrap_unit,bootstrap_index_sha256,family_members
bdb2020_rushing_harmonized,coverage,240,boosted_structure,0.9392339332581195,0.0007578212764770344,0.9373289124887336,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,360,boosted_structure,0.9395995281805276,0.0007272558557053831,0.937771343154875,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,20,relnet,0.9164797827643365,0.0021895729145880514,0.9109756065055673,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,40,relnet,0.9185565524301605,0.002253989873885921,0.9128904439992919,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,80,relnet,0.9193076312172542,0.002076288928736764,0.9140882296838514,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,160,relnet,0.9219948801482138,0.002303510168288861,0.9162042869710442,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,240,relnet,0.9266121330043453,0.0017364946762860537,0.9222469105872187,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,360,relnet,0.9240490895177933,0.002244428594173902,0.9184070163535484,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,20,attn_relnet,0.9154648589307162,0.0022565388062053687,0.9097923429613433,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,40,attn_relnet,0.9182389103213996,0.0022854423080713197,0.9124937363611894,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
