metric,base_metric,aggregation,model,n_train,n_repeats,sd,bootstrap_lower,bootstrap_upper,bca_bias_correction,bca_acceleration,confidence,bootstrap_draws,interval_method
mean_width,mean_width,play,ridge_sgd_l2,40,100,0.7288514691566554,0.6413049345624013,0.8408177551327463,0.11177728320980798,0.03595692407744922,0.95,10000,bca_repeat_block
mean_width,mean_width,play,ridge_sgd_l2,80,100,0.5322621924046907,0.46492260872475305,0.6151007484609838,0.08759320883174784,0.032128631894729844,0.95,10000,bca_repeat_block
mean_width,mean_width,play,ridge_sgd_l2,160,100,0.42603591953136055,0.37015278652822564,0.525885303022203,0.13071596811986333,0.08880838486700944,0.95,10000,bca_repeat_block
mean_width,mean_width,play,ridge_sgd_l2,240,100,0.3287673535127595,0.2892560820868739,0.3954373106385404,0.12439819806905468,0.06758831183046694,0.95,10000,bca_repeat_block
mean_width,mean_width,play,ridge_sgd_l2,360,100,0.305476987509606,0.26777816463912507,0.3639767371834679,0.1190951160922949,0.06395186228704454,0.95,10000,bca_repeat_block
mean_width,mean_width,play,lightgbm_multiclass,20,100,0.5804466784396132,0.5081563858522764,0.6828111017663369,0.10875098682482563,0.052351573378816685,0.95,10000,bca_repeat_block
mean_width,mean_width,play,lightgbm_multiclass,40,100,0.3246401119068173,0.29024001915361475,0.3683614353103497,0.12389299423746741,0.031696734095185315,0.95,10000,bca_repeat_block
mean_width,mean_width,play,lightgbm_multiclass,80,100,0.3329954168480174,0.29108145977270483,0.39182465911985137,0.11026400878604582,0.05312486027812519,0.95,10000,bca_repeat_block
mean_width,mean_width,play,lightgbm_multiclass,160,100,0.3077022531088077,0.27170086705856544,0.3607815955876863,0.10673401079978624,0.05473545369646503,0.95,10000,bca_repeat_block
mean_width,mean_width,play,lightgbm_multiclass,240,100,0.2654571187517029,0.23555135161806606,0.3088613307021256,0.12288268129946614,0.045042348275084514,0.95,10000,bca_repeat_block
mean_width,mean_width,play,lightgbm_multiclass,360,100,0.25625020070855065,0.22633689882560534,0.29411236596840473,0.09715916018568779,0.03694986836647051,0.95,10000,bca_repeat_block
mean_width,mean_width,play,zoo_cnn,20,100,8.105972437235469,6.07355587995236,10.678079836962002,0.07401305168886022,0.07224914639816088,0.95,10000,bca_repeat_block
mean_width,mean_width,play,zoo_cnn,40,100,3.475755005771132,2.2586842673664247,6.179395497092117,0.17204773674237334,0.14735678705563943,0.95,10000,bca_repeat_block
mean_width,mean_width,play,zoo_cnn,80,100,1.3275759400188973,1.131155621930431,1.58919091191979,0.09161995038847483,0.057929835909856627,0.95,10000,bca_repeat_block
mean_width,mean_width,play,zoo_cnn,160,100,1.2144400676135625,1.0078937913365953,1.5939981761221635,0.12136744671333508,0.10120513309557765,0.95,10000,bca_repeat_block
mean_width,mean_width,play,zoo_cnn,240,100,0.9286218567445188,0.8066761694659137,1.1176797279522535,0.142354500038514,0.06326327939822646,0.95,10000,bca_repeat_block
mean_width,mean_width,play,zoo_cnn,360,100,1.2012739971234454,0.9709784548817878,1.633190790120967,0.14286094942554084,0.10932711729579432,0.95,10000,bca_repeat_block
mean_width,mean_width,play,set_transformer,20,100,1.508682253173605,1.3204520006880405,1.7524676891213458,0.0906131282680229,0.049412344603153247,0.95,10000,bca_repeat_block
mean_width,mean_width,play,set_transformer,40,100,0.8580895792006102,0.7287986141764956,1.0595750737371405,0.12086243060603684,0.07769784964751504,0.95,10000,bca_repeat_block
mean_width,mean_width,play,set_transformer,80,100,0.6836175816371468,0.5989806967445044,0.7951607928609522,0.11530925861782557,0.043048785433226044,0.95,10000,bca_repeat_block
mean_width,mean_width,play,set_transformer,160,100,0.7827129113320673,0.6863109433945763,0.9048909593760113,0.11127283013139141,0.03855240563435055,0.95,10000,bca_repeat_block
mean_width,mean_width,play,set_transformer,240,100,0.6939471248352955,0.6165240167312788,0.7969552622657395,0.1052215641319016,0.041582603219643806,0.95,10000,bca_repeat_block
mean_width,mean_width,play,set_transformer,360,100,0.7666585784700627,0.6846535327273717,0.8771132897643388,0.11379538129883492,0.03310687020751601,0.95,10000,bca_repeat_block
mean_width_inclusive,mean_width_inclusive,play,ridge_sgd_l2,20,100,0.9337000562597816,0.8202831563910474,1.0690141867593252,0.08658674787384585,0.030886805699697924,0.95,10000,bca_repeat_block
mean_width_inclusive,mean_width_inclusive,play,ridge_sgd_l2,40,100,0.7288514691566554,0.6413049345624013,0.8408177551327464,0.11177728320980798,0.0359569240774502,0.95,10000,bca_repeat_block
mean_width_inclusive,mean_width_inclusive,play,ridge_sgd_l2,80,100,0.5322621924046907,0.46492260872475305,0.6151007484609838,0.08759320883174784,0.0321286318947302,0.95,10000,bca_repeat_block
mean_width_inclusive,mean_width_inclusive,play,ridge_sgd_l2,160,100,0.42603591953136055,0.3701527865282257,0.5258853030222032,0.13071596811986333,0.08880838486700948,0.95,10000,bca_repeat_block
mean_width_inclusive,mean_width_inclusive,play,ridge_sgd_l2,240,100,0.3287673535127595,0.2892560820868739,0.3954373106385404,0.12439819806905468,0.06758831183046697,0.95,10000,bca_repeat_block
mean_width_inclusive,mean_width_inclusive,play,ridge_sgd_l2,360,100,0.30547698750960606,0.2677781646391249,0.363976737183467,0.1190951160922949,0.063951862287042,0.95,10000,bca_repeat_block
mean_width_inclusive,mean_width_inclusive,play,lightgbm_multiclass,20,100,0.5804466784396131,0.5081563858522765,0.682811101766337,0.10875098682482563,0.05235157337881623,0.95,10000,bca_repeat_block
mean_width_inclusive,mean_width_inclusive,play,lightgbm_multiclass,40,100,0.3246401119068174,0.2902400191536148,0.3683614353103501,0.12389299423746741,0.03169673409518657,0.95,10000,bca_repeat_block
mean_width_inclusive,mean_width_inclusive,play,lightgbm_multiclass,80,100,0.33299541684801753,0.2910814597727051,0.39182465911985154,0.11026400878604582,0.05312486027812925,0.95,10000,bca_repeat_block
mean_width_inclusive,mean_width_inclusive,play,lightgbm_multiclass,160,100,0.3077022531088077,0.2717008670585655,0.3607815955876863,0.10673401079978624,0.05473545369646484,0.95,10000,bca_repeat_block
mean_width_inclusive,mean_width_inclusive,play,lightgbm_multiclass,240,100,0.2654571187517029,0.23555135161806603,0.30886133070212557,0.12288268129946614,0.045042348275084285,0.95,10000,bca_repeat_block
mean_width_inclusive,mean_width_inclusive,play,lightgbm_multiclass,360,100,0.2562502007085507,0.2263368988256055,0.29411236596840484,0.09715916018568779,0.03694986836647196,0.95,10000,bca_repeat_block
mean_width_inclusive,mean_width_inclusive,play,zoo_cnn,20,100,8.105972437235469,6.073555879952359,10.678079836962002,0.07401305168886022,0.07224914639816085,0.95,10000,bca_repeat_block
mean_width_inclusive,mean_width_inclusive,play,zoo_cnn,40,100,3.475755005771132,2.258684267366425,6.179395497092118,0.17204773674237334,0.14735678705563943,0.95,10000,bca_repeat_block
mean_width_inclusive,mean_width_inclusive,play,zoo_cnn,80,100,1.3275759400188976,1.1311556219304308,1.58919091191979,0.09161995038847483,0.05792983590985626,0.95,10000,bca_repeat_block
mean_width_inclusive,mean_width_inclusive,play,zoo_cnn,160,100,1.2144400676135623,1.0078937913365953,1.5939981761221635,0.12136744671333508,0.10120513309557787,0.95,10000,bca_repeat_block
