metric,base_metric,aggregation,n_train,model_a,model_a_display_name,model_b,model_b_display_name,mean_width_a,mean_width_b,width_mean_difference_a_minus_b,width_simultaneous_lower,width_simultaneous_upper,coverage_metric,coverage_target,coverage_lcb_a,coverage_lcb_b,coverage_qualified_a,coverage_qualified_b,both_coverage_qualified,sharper_model,sharper_model_display_name,sharper_at_controlled_coverage,sharpness_status
mean_width_game_equal,mean_width,game_equal,40,zoo_cnn,Zoo CNN,set_transformer,Set Transformer,18.115114575626773,15.75967627026762,2.3554383053591494,0.9759513299216924,3.7349252807966065,coverage_game_equal,0.9,0.9186896258944598,0.9182850749178522,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,40,ridge_sgd_l2,L2 one-vs-rest logistic,lightgbm_multiclass,LightGBM,22.65642785811178,16.043029427806097,6.61339843030568,6.359376055920758,6.867420804690602,coverage_game_equal,0.9,0.9362557474840426,0.9140696856401923,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,40,ridge_sgd_l2,L2 one-vs-rest logistic,zoo_cnn,Zoo CNN,22.65642785811178,19.115114575626773,3.541313282485006,2.181601453372666,4.901025111597346,coverage_game_equal,0.9,0.9362557474840426,0.9186896258944598,True,True,True,zoo_cnn,Zoo CNN,True,sharper_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,40,ridge_sgd_l2,L2 one-vs-rest logistic,set_transformer,Set Transformer,22.65642785811178,16.759676270267622,5.896751587844154,5.542260461712574,6.251242713975734,coverage_game_equal,0.9,0.9362557474840426,0.9182850749178522,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,40,lightgbm_multiclass,LightGBM,zoo_cnn,Zoo CNN,16.043029427806097,19.115114575626773,-3.072085147820671,-4.444956550853093,-1.699213744788249,coverage_game_equal,0.9,0.9140696856401923,0.9186896258944598,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,40,lightgbm_multiclass,LightGBM,set_transformer,Set Transformer,16.043029427806097,16.759676270267622,-0.7166468424615232,-1.0295303779344704,-0.40376330698857604,coverage_game_equal,0.9,0.9140696856401923,0.9182850749178522,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,40,zoo_cnn,Zoo CNN,set_transformer,Set Transformer,19.115114575626773,16.759676270267622,2.355438305359149,0.9759513299216918,3.734925280796606,coverage_game_equal,0.9,0.9186896258944598,0.9182850749178522,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width,mean_width,play,80,ridge_sgd_l2,L2 one-vs-rest logistic,lightgbm_multiclass,LightGBM,21.68481441179462,14.28641888533497,7.398395526459645,7.175745938898368,7.621045114020921,coverage,0.9,0.9365746162015222,0.9121594650167718,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width,mean_width,play,80,ridge_sgd_l2,L2 one-vs-rest logistic,zoo_cnn,Zoo CNN,21.68481441179462,16.60142241016105,5.083392001633561,4.518583936091795,5.648200067175327,coverage,0.9,0.9365746162015222,0.9179640798958489,True,True,True,zoo_cnn,Zoo CNN,True,sharper_at_controlled_coverage
mean_width,mean_width,play,80,ridge_sgd_l2,L2 one-vs-rest logistic,set_transformer,Set Transformer,21.68481441179462,15.296277432941135,6.388536978853482,6.086892543636919,6.690181414070045,coverage,0.9,0.9365746162015222,0.9188164748591268,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width,mean_width,play,80,lightgbm_multiclass,LightGBM,zoo_cnn,Zoo CNN,14.28641888533497,16.60142241016105,-2.3150035248260847,-2.847197286768614,-1.7828097628835553,coverage,0.9,0.9121594650167718,0.9179640798958489,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width,mean_width,play,80,lightgbm_multiclass,LightGBM,set_transformer,Set Transformer,14.28641888533497,15.296277432941135,-1.0098585476061657,-1.2839258907501194,-0.7357912044622119,coverage,0.9,0.9121594650167718,0.9188164748591268,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width,mean_width,play,80,zoo_cnn,Zoo CNN,set_transformer,Set Transformer,16.60142241016105,15.296277432941135,1.3051449772199184,0.7256523225728361,1.8846376318670006,coverage,0.9,0.9179640798958489,0.9188164748591268,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
