metric,n_train,model_a,model_b,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws
mean_width_inclusive,80,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,100,-2.3150035248260847,1.3548427400274379,0.1354842740027438,-2.583833717965176,-2.0461733316869934,-2.847197286768614,-1.7828097628835553,0.95,3.9280851291401664,10000
mean_width_inclusive,80,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,100,-1.0098585476061657,0.6977123309034434,0.06977123309034435,-1.1482998110316904,-0.8714172841806409,-1.2839258907501196,-0.7357912044622117,0.95,3.9280851291401664,10000
mean_width_inclusive,80,zoo_cnn,set_transformer,zoo_cnn - set_transformer,100,1.305144977219918,1.475254826704659,0.1475254826704659,1.0124224137256792,1.5978675407141567,0.7256523225728355,1.8846376318670004,0.95,3.9280851291401664,10000
mean_q,80,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,-1.9329718555333866,0.16057550402657939,0.01605755040265794,-1.9648335192420456,-1.9011101918247275,-1.9960472804804859,-1.8698964305862873,0.95,3.9280851291401664,10000
mean_q,80,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,-0.5400194766040411,0.4528409292884623,0.045284092928846234,-0.6298729414271523,-0.45016601178092996,-0.7178992486244434,-0.36213970458363887,0.95,3.9280851291401664,10000
mean_q,80,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,100,0.0779543556631173,0.18213540039557058,0.01821354003955706,0.04181474076964606,0.11409397055658854,0.006410019884734219,0.14949869144150038,0.95,3.9280851291401664,10000
mean_q,80,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,100,1.3929523789293448,0.48274788944343167,0.048274788944343165,1.2971647243754751,1.4887400334832144,1.2033248983646903,1.5825798594939993,0.95,3.9280851291401664,10000
mean_q,80,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,100,2.0109262111965034,0.21589158213413098,0.021589158213413097,1.968088637500646,2.0537637848923604,1.9261221598677412,2.0957302625252656,0.95,3.9280851291401664,10000
mean_q,80,zoo_cnn,set_transformer,zoo_cnn - set_transformer,100,0.6179738322671584,0.4664784044552633,0.04664784044552633,0.5254143965038727,0.7105332680304441,0.43473714390658325,0.8012105206277336,0.95,3.9280851291401664,10000
crps_game_equal,80,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,0.0004105269844830405,8.925141094796545e-05,8.925141094796545e-06,0.00039281756822813843,0.00042823640073794253,0.0003754682704730924,0.00044558569849298857,0.95,3.9280851291401664,10000
