model,model_display_name,n_train,metric,base_metric,aggregation,n_repeats,mean,sd,mcse,median,iqr,q10,q90
ridge_sgd_l2,L2 one-vs-rest logistic,40,coverage,coverage,play,100,0.9381304131171216,0.005577114519338357,0.0005577114519338357,0.9387592141675627,0.007471069874872893,0.9299082276886858,0.9445123089355828
ridge_sgd_l2,L2 one-vs-rest logistic,40,mean_width,mean_width,play,100,21.71064468787868,0.7288514691566554,0.07288514691566554,21.69007580279285,0.9409735115402746,20.870014471990217,22.772382629284728
ridge_sgd_l2,L2 one-vs-rest logistic,40,mean_width_inclusive,mean_width_inclusive,play,100,22.71064468787868,0.7288514691566554,0.07288514691566554,22.69007580279285,0.9409735115402746,21.870014471990217,23.772382629284728
ridge_sgd_l2,L2 one-vs-rest logistic,40,mean_q,mean_q,play,100,0.3471297011340718,0.13612754755157586,0.013612754755157585,0.34801691752235997,0.20741779428595714,0.1881910714491285,0.4941190384871052
ridge_sgd_l2,L2 one-vs-rest logistic,40,crps_game_equal,crps,game_equal,100,0.014208101096213193,0.0002510246255599379,2.510246255599379e-05,0.014204161006339323,0.00033586289041726003,0.013880535873185168,0.014543263950626792
ridge_sgd_l2,L2 one-vs-rest logistic,40,coverage_game_equal,coverage,game_equal,100,0.937817979422777,0.005636352713572903,0.0005636352713572903,0.9383647634727912,0.007500415721158227,0.9294447847486202,0.944589756482482
ridge_sgd_l2,L2 one-vs-rest logistic,40,mean_width_game_equal,mean_width,game_equal,100,21.65642785811178,0.7283757507251118,0.07283757507251118,21.62095995419923,0.9230449754329513,20.816279792227057,22.6946251961222
ridge_sgd_l2,L2 one-vs-rest logistic,40,mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,100,22.65642785811178,0.7283757507251117,0.07283757507251118,22.62095995419923,0.9230449754329513,21.816279792227057,23.6946251961222
ridge_sgd_l2,L2 one-vs-rest logistic,80,crps,crps,play,100,0.014238317528230687,0.0002526163626682157,2.5261636266821573e-05,0.014232655954625788,0.0003929191710971419,0.013930677631506797,0.014562376133096567
ridge_sgd_l2,L2 one-vs-rest logistic,80,coverage,coverage,play,100,0.9378357416505324,0.004549995215463274,0.00045499952154632743,0.9384590336397565,0.005107786708638318,0.9317165861745319,0.9433669363339547
