metric,model_a,model_b,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws
mean_width_inclusive,lightgbm_multiclass,zoo_cnn,change(lightgbm_multiclass) - change(zoo_cnn),100,4.116494155699374,8.203535922513218,0.8203535922513219,2.488734651723259,5.744253659675488,1.569534240531361,6.663454070867386,0.95,3.1047098948860716,10000
mean_width_inclusive,lightgbm_multiclass,set_transformer,change(lightgbm_multiclass) - change(set_transformer),100,0.19689875491694253,1.3992776220203162,0.13992776220203162,-0.08074828283100455,0.4745457926648896,-0.2375363529609703,0.6313338627948554,0.95,3.1047098948860716,10000
mean_width_inclusive,zoo_cnn,set_transformer,change(zoo_cnn) - change(set_transformer),100,-3.9195954007824314,8.211733121814639,0.8211733121814639,-5.548981406939424,-2.290209394625439,-6.469100308528592,-1.3700904930362712,0.95,3.1047098948860716,10000
mean_q,ridge_sgd_l2,lightgbm_multiclass,change(ridge_sgd_l2) - change(lightgbm_multiclass),100,-0.06355364491476831,0.22761097560866042,0.022761097560866042,-0.10871660052998164,-0.01839068929955498,-0.13422024973045632,0.007112959900919716,0.95,3.1047098948860716,10000
mean_q,ridge_sgd_l2,zoo_cnn,change(ridge_sgd_l2) - change(zoo_cnn),100,2.193381557652496,1.5267121867414615,0.15267121867414615,1.8904487375517665,2.496314377753226,1.7193817143705594,2.667381400934433,0.95,3.1047098948860716,10000
mean_q,ridge_sgd_l2,set_transformer,change(ridge_sgd_l2) - change(set_transformer),100,0.2120756693577048,0.3876228515921895,0.03876228515921895,0.13516288606556914,0.28898845264984047,0.0917300190754822,0.3324213196399274,0.95,3.1047098948860716,10000
mean_q,lightgbm_multiclass,zoo_cnn,change(lightgbm_multiclass) - change(zoo_cnn),100,2.256935202567264,1.5209874067993991,0.15209874067993992,1.9551383030070042,2.558732102127524,1.784712737378544,2.7291576677559846,0.95,3.1047098948860716,10000
mean_q,lightgbm_multiclass,set_transformer,change(lightgbm_multiclass) - change(set_transformer),100,0.2756293142724731,0.4294524925290964,0.04294524925290964,0.1904166227180842,0.360842005826862,0.14229677397861587,0.4089618545663304,0.95,3.1047098948860716,10000
mean_q,zoo_cnn,set_transformer,change(zoo_cnn) - change(set_transformer),100,-1.9813058882947907,1.5648849996257328,0.15648849996257327,-2.2918130226366946,-1.670798753952887,-2.4671572825644708,-1.4954544940251109,0.95,3.1047098948860716,10000
crps_game_equal,ridge_sgd_l2,lightgbm_multiclass,change(ridge_sgd_l2) - change(lightgbm_multiclass),100,0.000817415231166897,9.707029244155493e-05,9.707029244155493e-06,0.0007981543791918532,0.0008366760831419408,0.000787277721422619,0.000847552740911175,0.95,3.1047098948860716,10000
crps_game_equal,ridge_sgd_l2,zoo_cnn,change(ridge_sgd_l2) - change(zoo_cnn),100,0.0032834234244567646,0.0012577088512331785,0.00012577088512331786,0.0030338667021888263,0.003532980146724703,0.0028929413129258202,0.003673905535987709,0.95,3.1047098948860716,10000
crps_game_equal,ridge_sgd_l2,set_transformer,change(ridge_sgd_l2) - change(set_transformer),100,0.0013057917701802166,0.00022669724688497415,2.2669724688497416e-05,0.0012608101181672653,0.001350773422193168,0.0012354088516254957,0.0013761746887349375,0.95,3.1047098948860716,10000
crps_game_equal,lightgbm_multiclass,zoo_cnn,change(lightgbm_multiclass) - change(zoo_cnn),100,0.002466008193289867,0.00124514141956064,0.000124514141956064,0.0022189451221180864,0.002713071264461648,0.0020794279047056264,0.002852588481874108,0.95,3.1047098948860716,10000
