model,model_display_name,n_train,coverage_game_equal_iqr,coverage_game_equal_mcse,coverage_game_equal_mean,coverage_game_equal_median,coverage_game_equal_q10,coverage_game_equal_q90,coverage_game_equal_sd,coverage_iqr,coverage_mcse,coverage_mean,coverage_median,coverage_q10,coverage_q90,coverage_sd,crps_game_equal_iqr,crps_game_equal_mcse,crps_game_equal_mean,crps_game_equal_median,crps_game_equal_q10,crps_game_equal_q90,crps_game_equal_sd,crps_iqr,crps_mcse,crps_mean,crps_median,crps_q10,crps_q90,crps_sd,mean_q_iqr,mean_q_mcse,mean_q_mean,mean_q_median,mean_q_q10,mean_q_q90,mean_q_sd,mean_width_game_equal_iqr,mean_width_game_equal_mcse,mean_width_game_equal_mean,mean_width_game_equal_median,mean_width_game_equal_q10,mean_width_game_equal_q90,mean_width_game_equal_sd,mean_width_inclusive_game_equal_iqr,mean_width_inclusive_game_equal_mcse,mean_width_inclusive_game_equal_mean,mean_width_inclusive_game_equal_median,mean_width_inclusive_game_equal_q10,mean_width_inclusive_game_equal_q90,mean_width_inclusive_game_equal_sd,mean_width_inclusive_iqr,mean_width_inclusive_mcse,mean_width_inclusive_mean,mean_width_inclusive_median,mean_width_inclusive_q10,mean_width_inclusive_q90,mean_width_inclusive_sd,mean_width_iqr,mean_width_mcse,mean_width_mean,mean_width_median,mean_width_q10,mean_width_q90,mean_width_sd
lightgbm_multiclass,LightGBM,240,0.007244608494253346,0.0005057594269219355,0.9140979732726703,0.9140403963948693,0.9082834800793131,0.9195460931389593,0.005057594269219355,0.007398278071043207,0.000507978419913991,0.9135954897578378,0.9135974713270432,0.9077665072382983,0.9188298244023558,0.005079784199139911,0.0004104817804235217,2.7695039362463662e-05,0.013426126846662891,0.013430596288504815,0.013041978484699911,0.013759202579432833,0.0002769503936246366,0.00040991333461964236,2.8039567950216727e-05,0.013475707561037886,0.013480058621900158,0.013079268503382119,0.013778984632016388,0.0002803956795021673,0.18537243575161133,0.01563396286986259,1.7217568911204735,1.7152464448400502,1.5339048213543132,1.9106374845776861,0.1563396286986259,0.3667342112675982,0.026575218749204477,13.719049295350763,13.698061775605685,13.407711118161224,14.08270366246549,0.26575218749204477,0.3667342112676,0.02657521874920444,14.719049295350763,14.698061775605687,14.407711118161222,15.08270366246549,0.2657521874920444,0.37327040174641724,0.026545711875170297,14.696381897412577,14.673855631598714,14.378998308864656,15.064387421615441,0.26545711875170297,0.37327040174641724,0.026545711875170297,13.696381897412577,13.673855631598714,13.378998308864656,14.064387421615441,0.26545711875170297
lightgbm_multiclass,LightGBM,360,0.0059014870703690825,0.0005120639564126167,0.9155894166487795,0.9159430352285983,0.9087702748982036,0.921643596228937,0.005120639564126167,0.006072108211655047,0.0005109420650274706,0.9151626848054151,0.9156895349911398,0.9089359534643267,0.9213500552591879,0.005109420650274706,0.00040109566259297763,2.7177284102469632e-05,0.01329608814317107,0.013321063961398899,0.012908757970035701,0.013608356829928161,0.0002717728410246963,0.00041252215000508845,2.7545613270227764e-05,0.013343954274302787,0.01335402333723347,0.012987511754724887,0.013642765807260634,0.00027545613270227765,0.1775872625844921,0.014043303587992148,1.4008180468629847,1.3863535528573665,1.2266562079928767,1.5753289813046882,0.14043303587992148,0.32324181354767667,0.02560090265694636,13.667309323739,13.665323879299041,13.312921982003699,14.004163790680463,0.2560090265694636,0.32324181354767667,0.025600902656946357,14.667309323739,14.665323879299041,14.312921982003699,15.004163790680463,0.25600902656946356,0.3220265196186336,0.02562502007085507,14.64421001519321,14.644041207935997,14.295524898790422,14.990672988942261,0.2562502007085507,0.3220265196186336,0.02562502007085507,13.64421001519321,13.644041207935997,13.295524898790422,13.990672988942261,0.2562502007085507
zoo_cnn,Zoo CNN,20,0.01920935084531683,0.0020974785383721835,0.9281852668792899,0.9213532709823565,0.9115766430872014,0.9606101446171571,0.020974785383721835,0.0191157968683362,0.0021018436462192547,0.9279241075774712,0.9213255730111918,0.9111964336367622,0.960902290409037,0.021018436462192546,0.0008771347240580322,0.00011876873275565556,0.016259837145500267,0.015989176267053953,0.015288699712747244,0.017479568451360894,0.0011876873275565557,0.0008607091064710467,0.00011825011596770113,0.016289815779116704,0.01601349382611508,0.015333274049188854,0.01750690299593335,0.0011825011596770113,2.0522646526136157,0.14365056109810612,2.689161810087725,2.946499445967982,0.2037676937891189,4.404485171990876,1.4365056109810612,4.302951904379029,0.8097773664602551,20.65621419661103,17.70123650007897,15.748560815919829,31.44265890430494,8.09777366460255,4.302951904379029,0.8097773664602551,21.656214196611028,18.70123650007897,16.74856081591983,32.442658904304935,8.09777366460255,4.271719267391017,0.8105972437235469,21.641105040418903,18.65755617171198,16.734816432147472,32.44767019046083,8.105972437235469,4.271719267391017,0.8105972437235469,20.641105040418903,17.65755617171198,15.734816432147472,31.447670190460833,8.105972437235469
zoo_cnn,Zoo CNN,40,0.011797052346866455,0.0012182336651031553,0.922066212913016,0.9199542431887304,0.9104109100438502,0.934239069182301,0.012182336651031552,0.011445188800130568,0.001218960571419289,0.9218645671203375,0.9194127644143663,0.9105639290793436,0.9344403784000914,0.012189605714192892,0.0007837002738077924,7.714100742436201e-05,0.015203927443247622,0.015066079546515801,0.014509033438735648,0.015868745111548038,0.0007714100742436202,0.0007545615935717325,7.595084635789053e-05,0.015229899377903785,0.015100104401663756,0.0145580113505171,0.01591230348245635,0.0007595084635789053,1.1012259641593598,0.07732988148883867,1.8446087740223513,1.8861665299744579,0.8780573708974077,2.717461918689494,0.7732988148883867,2.6070398933856858,0.34748970428288384,18.115114575626773,17.219879382468665,15.689612297834813,20.979104662140852,3.4748970428288386,2.6070398933856858,0.34748970428288384,19.115114575626773,18.219879382468665,16.689612297834817,21.979104662140852,3.4748970428288386,2.618823821346183,0.3475755005771132,19.090440659374373,18.213119242863392,16.675930779099957,21.942935050934743,3.475755005771132,2.618823821346183,0.34757550057711323,18.090440659374373,17.213119242863392,15.675930779099959,20.942935050934743,3.4757550057711324
zoo_cnn,Zoo CNN,80,0.011915016860474137,0.0007434232432749717,0.9201902856848644,0.9207429360124539,0.9107282450874447,0.9285748697944992,0.007434232432749717,0.011584681220026649,0.0007411703121050264,0.920018386984942,0.9210712885420889,0.9107465954874784,0.9285724552879762,0.007411703121050264,0.0005494983859122074,6.16309210163756e-05,0.01420138218689167,0.014058124956498629,0.01364883406744415,0.014893974913388617,0.000616309210163756,0.0005544248540660761,6.195756375444362e-05,0.014232431209911623,0.014092387353466865,0.01364362364115343,0.014949768552340745,0.0006195756375444362,0.5992034092991346,0.045785821014227276,0.8819145067891917,0.8238494519838296,0.3138400172062335,1.5021008135499576,0.45785821014227274,1.614748584553892,0.1331809395527114,16.629855406932972,16.421334727645025,15.20768545613243,18.342866036665715,1.331809395527114,1.6147485845538938,0.1331809395527114,17.629855406932972,17.421334727645025,16.20768545613243,19.342866036665715,1.331809395527114,1.6081786467871453,0.13275759400188977,17.60142241016105,17.391508336911887,16.182460210778597,19.34292176336472,1.3275759400188978,1.6081786467871453,0.13275759400188974,16.60142241016105,16.391508336911887,15.182460210778597,18.34292176336472,1.3275759400188976
zoo_cnn,Zoo CNN,160,0.008797903042231048,0.0007176313830908052,0.9183052592526113,0.9178485750911074,0.909698794549985,0.9283740997002491,0.007176313830908053,0.009008531757653149,0.000728860508570301,0.9180274951225361,0.9178749064099383,0.9092483573508447,0.9289482799484592,0.00728860508570301,0.0005485179440585086,5.246871827907664e-05,0.013474805789647664,0.013444192969979491,0.012848650520372916,0.014113960652441183,0.0005246871827907664,0.0005530060830738204,5.241967302177517e-05,0.013506385461750665,0.013477892084986082,0.012921785688180887,0.014153098139967379,0.0005241967302177517,0.6887882134483481,0.04222932299287064,0.6248805838576484,0.6208886422631605,0.09491565771858113,1.1731686167771316,0.4222932299287064,1.3995557209948757,0.12214521332903991,14.975608465070607,14.88372252935038,13.600143134581105,16.35059132411035,1.2214521332903991,1.3995557209948757,0.12214521332903994,15.975608465070607,15.88372252935038,14.600143134581103,17.35059132411035,1.2214521332903994,1.4109917833651586,0.12144400676135622,15.946365051650519,15.866501301508396,14.567597974919742,17.30802441593272,1.2144400676135623,1.4109917833651586,0.12144400676135622,14.94636505165052,14.866501301508396,13.567597974919742,16.30802441593272,1.2144400676135623
zoo_cnn,Zoo CNN,240,0.009425711545775983,0.0006646346381945152,0.9190094406644299,0.9198026677925788,0.9098344604420379,0.9273018675052703,0.006646346381945153,0.0087922858689371,0.000662950394729387,0.9188435568660391,0.9196343009379436,0.9100199880712044,0.9266394170775956,0.00662950394729387,0.0004212612575044492,3.693701917318263e-05,0.013076011431900377,0.013083860570880325,0.012652240261716486,0.013446477816943634,0.00036937019173182627,0.00047954868967272843,3.735952504410065e-05,0.013106233464402501,0.013085888020675687,0.012677170807892888,0.013511559331022957,0.0003735952504410065,0.6459707634308565,0.036824308514421866,0.4919105642846647,0.45048717102434155,0.0020514490394008475,1.001357246728066,0.36824308514421866,1.1554079635250627,0.09289595763857289,14.56087582092093,14.490587892880367,13.364319073054185,15.595786083035067,0.9289595763857289,1.1554079635250627,0.09289595763857286,15.56087582092093,15.490587892880367,14.364319073054187,16.59578608303507,0.9289595763857287,1.1680189832902048,0.09286218567445188,15.534168730025087,15.44726691318752,14.34889969673281,16.578543872992512,0.9286218567445188,1.1680189832902066,0.09286218567445188,14.534168730025087,14.44726691318752,13.34889969673281,15.578543872992514,0.9286218567445188
zoo_cnn,Zoo CNN,360,0.009306227058629823,0.0007496875498871778,0.9188483553360683,0.9182730953603908,0.9110236629072532,0.9294589110261414,0.007496875498871777,0.00974456711859728,0.0007576916129763503,0.91867683490781,0.9179625622150148,0.9107904452348828,0.9295414339933483,0.007576916129763503,0.0005401977453078858,4.371374650318589e-05,0.012915517015143088,0.012892138618607572,0.01244383888116722,0.013422090859665644,0.0004371374650318589,0.0005677042639817085,4.3726663972390064e-05,0.012947139474537284,0.012921057126404095,0.012469899177075376,0.01350347558098147,0.00043726663972390065,0.640893607861041,0.04435742113519465,0.44283294737909806,0.2957389468885223,0.0,1.0292206702495024,0.44357421135194647,1.281307945898071,0.12064708810788835,14.138200510095627,13.814608772045844,12.970111631493454,15.496837966012677,1.2064708810788836,1.2813079458980727,0.12064708810788835,15.138200510095627,14.814608772045844,13.970111631493456,16.496837966012677,1.2064708810788836,1.2956297143987197,0.12012739971234454,15.110986503404082,14.78979451543557,13.957624041675675,16.46778815660114,1.2012739971234454,1.2956297143987197,0.12012739971234454,14.110986503404082,13.78979451543557,12.957624041675675,15.467788156601141,1.2012739971234454
set_transformer,Set Transformer,20,0.014299800028364618,0.0011219022229753785,0.9255888692853415,0.9241783701996276,0.9139526306057757,0.9399759905222799,0.011219022229753786,0.013891432521841773,0.001113105190140695,0.9256082299995707,0.9241837889528026,0.9144832289094937,0.9400018068340353,0.01113105190140695,0.0004334448891529438,3.2777241417342485e-05,0.013862840051653745,0.013876391867268214,0.013465587241074264,0.01428010472941213,0.0003277724141734249,0.00041006961301403785,3.2826059843839804e-05,0.013899283931633963,0.013928349163284875,0.013479928848647755,0.014319446470118541,0.00032826059843839804,0.5259733530934878,0.03649665942622745,0.39780696242561947,0.29366452848449903,0.005799093629293222,0.9259698012457557,0.3649665942622745,1.826121596372353,0.15080042598022428,17.077100706205275,16.840515233807555,15.217882929252923,19.112369853745435,1.5080042598022427,1.826121596372353,0.15080042598022428,18.077100706205275,17.840515233807555,16.217882929252923,20.112369853745435,1.5080042598022427,1.8377438240368136,0.15086822531736047,18.07535082547462,17.83142393470184,16.215790957705398,20.081206196224077,1.5086822531736046,1.8377438240368171,0.15086822531736047,17.07535082547462,16.83142393470184,15.215790957705396,19.081206196224077,1.5086822531736046
set_transformer,Set Transformer,40,0.01135719931073742,0.0007663836814110808,0.9204092660841404,0.9194463778592412,0.9118536927166889,0.9308077636367245,0.0076638368141108085,0.011163499274775446,0.0007665424686863237,0.9204035116626446,0.919310837723943,0.9119017026047604,0.930732460381963,0.007665424686863238,0.00035847291318074834,2.870012258814334e-05,0.013614113841223099,0.013611861744518856,0.013236993257266518,0.013980557913077547,0.0002870012258814334,0.0003876966577015632,2.9213221211604095e-05,0.013653720442130274,0.013652734547333675,0.013276716994149928,0.014021355841305375,0.00029213221211604095,0.33147475938850135,0.027182610516861626,0.3680660787354802,0.3226995243915165,0.03305727290968975,0.7935895757127879,0.27182610516861627,1.1188901112098648,0.0857225100206501,15.75967627026762,15.597111378157795,14.805842273162034,16.82678583865991,0.8572251002065009,1.1188901112098613,0.08572251002065008,16.759676270267622,16.5971113781578,15.805842273162034,17.82678583865991,0.8572251002065008,1.1168188711667213,0.08580895792006102,16.753791599882682,16.598664929990232,15.784348737525994,17.811258748366146,0.8580895792006102,1.1168188711667195,0.08580895792006102,15.75379159988268,15.598664929990232,14.784348737525994,16.811258748366146,0.8580895792006102
