metric,model,size_from,size_to,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws
crps_game_equal,ridge_sgd_l2,20,40,40 - 20,100,-3.695006572167547e-05,6.343873648029095e-05,6.343873648029095e-06,-4.953768735232402e-05,-2.436244409102691e-05,-5.969499854064334e-05,-1.4205132902707594e-05,0.95,3.5853382461414935,10000
crps_game_equal,ridge_sgd_l2,40,80,80 - 40,100,-1.009965297341103e-05,4.469072075381541e-05,4.469072075381541e-06,-1.8967261542897172e-05,-1.2320444039248876e-06,-2.6122788010039408e-05,5.923482063217346e-06,0.95,3.5853382461414935,10000
crps_game_equal,ridge_sgd_l2,80,160,160 - 80,100,-9.1560857981339e-06,2.8480969722595624e-05,2.8480969722595626e-06,-1.4807328090031879e-05,-3.5048435062359223e-06,-1.93674768014959e-05,1.0553052052280975e-06,0.95,3.5853382461414935,10000
crps_game_equal,ridge_sgd_l2,160,240,240 - 160,100,-2.8926523964633787e-06,1.9085458259631557e-05,1.9085458259631558e-06,-6.679621377070612e-06,8.943165841438551e-07,-9.735434740802788e-06,3.95012994787603e-06,0.95,3.5853382461414935,10000
crps_game_equal,ridge_sgd_l2,240,360,360 - 240,100,-1.7982490107289368e-06,1.6171673647886973e-05,1.6171673647886973e-06,-5.007059909369295e-06,1.4105618879114219e-06,-7.596341014117706e-06,3.999842992659832e-06,0.95,3.5853382461414935,10000
coverage_game_equal,ridge_sgd_l2,20,40,40 - 20,100,0.0005198605341527274,0.0038202908135927948,0.0003820290813592795,-0.00023816804504964465,0.0012778891133550995,-0.0008498429423829977,0.0018895640106884526,0.95,3.5853382461414935,10000
coverage_game_equal,ridge_sgd_l2,40,80,80 - 40,100,-0.0002995962446483824,0.0031625120540037686,0.00031625120540037686,-0.0009271072473388644,0.00032791475804209964,-0.0014334637867587027,0.000834271297461938,0.95,3.5853382461414935,10000
coverage_game_equal,ridge_sgd_l2,80,160,160 - 80,100,-0.0001599490054586683,0.0021735376998102377,0.00021735376998102376,-0.0005912260403293347,0.0002713280294119981,-0.0009392357899146736,0.000619337778997337,0.95,3.5853382461414935,10000
coverage_game_equal,ridge_sgd_l2,160,240,240 - 160,100,-0.00028492962195408975,0.0017348085478538686,0.00017348085478538687,-0.0006291532747814705,5.929403087329106e-05,-0.0009069171655894558,0.0003370579216812763,0.95,3.5853382461414935,10000
coverage_game_equal,ridge_sgd_l2,240,360,360 - 240,100,-0.00015071022583825532,0.0015134643326292453,0.00015134643326292452,-0.0004510143842689277,0.00014959393259241706,-0.0006933383814329197,0.0003919179297564091,0.95,3.5853382461414935,10000
mean_width_game_equal,ridge_sgd_l2,20,40,40 - 20,100,2.514319133400278e-05,0.7057711363857893,0.07057711363857892,-0.14001516207888892,0.14006544846155694,-0.2530176816393374,0.25306796802200543,0.95,3.5853382461414935,10000
mean_width_game_equal,ridge_sgd_l2,40,80,80 - 40,100,-0.026879607195089326,0.5482659323608579,0.05482659323608578,-0.135667462887602,0.08190824849742337,-0.2234514888300702,0.16969227443989154,0.95,3.5853382461414935,10000
mean_width_game_equal,ridge_sgd_l2,80,160,160 - 80,100,-0.035738336043611235,0.3686496668898484,0.03686496668898484,-0.10888642786469788,0.037409755777475406,-0.1679117110563607,0.09643503896913824,0.95,3.5853382461414935,10000
mean_width_game_equal,ridge_sgd_l2,160,240,240 - 160,100,-0.03630349539955933,0.2581573626114923,0.02581573626114923,-0.08752751690460901,0.014920526105490356,-0.12886164196895947,0.056254651169840804,0.95,3.5853382461414935,10000
mean_width_game_equal,ridge_sgd_l2,240,360,360 - 240,100,-0.017669188941186034,0.17459210509406206,0.017459210509406208,-0.05231205039390838,0.01697367251153631,-0.08026636412799562,0.04492798624562355,0.95,3.5853382461414935,10000
mean_width_inclusive_game_equal,ridge_sgd_l2,20,40,40 - 20,100,2.51431913338962e-05,0.7057711363857893,0.07057711363857892,-0.14001516207888903,0.14006544846155683,-0.2530176816393375,0.2530679680220053,0.95,3.5853382461414935,10000
mean_width_inclusive_game_equal,ridge_sgd_l2,40,80,80 - 40,100,-0.026879607195089326,0.5482659323608577,0.054826593236085776,-0.135667462887602,0.08190824849742334,-0.22345148883007018,0.16969227443989152,0.95,3.5853382461414935,10000
mean_width_inclusive_game_equal,ridge_sgd_l2,80,160,160 - 80,100,-0.03573833604361127,0.3686496668898481,0.03686496668898481,-0.10888642786469785,0.037409755777475316,-0.16791171105636066,0.09643503896913813,0.95,3.5853382461414935,10000
mean_width_inclusive_game_equal,ridge_sgd_l2,160,240,240 - 160,100,-0.03630349539955933,0.25815736261149236,0.025815736261149237,-0.08752751690460903,0.01492052610549037,-0.1288616419689595,0.05625465116984083,0.95,3.5853382461414935,10000
mean_width_inclusive_game_equal,ridge_sgd_l2,240,360,360 - 240,100,-0.017669188941186,0.17459210509406206,0.017459210509406208,-0.05231205039390834,0.016973672511536343,-0.08026636412799559,0.04492798624562359,0.95,3.5853382461414935,10000
crps,lightgbm_multiclass,20,40,40 - 20,100,-0.00018125485832955676,7.367960408716415e-05,7.3679604087164145e-06,-0.0001958744902705767,-0.00016663522638853682,-0.00020767148857898403,-0.0001548382280801295,0.95,3.5853382461414935,10000
crps,lightgbm_multiclass,40,80,80 - 40,100,-0.00019787063279054455,6.266033750636503e-05,6.266033750636503e-06,-0.00021030380317728302,-0.00018543746240380608,-0.00022033648324831502,-0.00017540478233277407,0.95,3.5853382461414935,10000
crps,lightgbm_multiclass,80,160,160 - 80,100,-0.00023150667747782045,5.073259680053777e-05,5.073259680053777e-06,-0.00024157312533438867,-0.00022144022962125224,-0.0002496960294413248,-0.00021331732551431608,0.95,3.5853382461414935,10000
crps,lightgbm_multiclass,160,240,240 - 160,100,-0.00013149739639248408,3.18945417806811e-05,3.18945417806811e-06,-0.00013782596543866703,-0.00012516882734630113,-0.00014293266844142745,-0.0001200621243435407,0.95,3.5853382461414935,10000
crps,lightgbm_multiclass,240,360,360 - 240,100,-0.00013175328673510113,2.686232537878467e-05,2.686232537878467e-06,-0.00013708335487245377,-0.00012642321859774848,-0.00014138433899118654,-0.00012212223447901572,0.95,3.5853382461414935,10000
coverage,lightgbm_multiclass,20,40,40 - 20,100,-0.0006759739235898432,0.0049922970940243505,0.000499229709402435,-0.0016665539756829085,0.0003146061285032219,-0.0024658812943204973,0.0011139334471408106,0.95,3.5853382461414935,10000
coverage,lightgbm_multiclass,40,80,80 - 40,100,-0.0012944503891301063,0.004310200370166873,0.0004310200370166873,-0.0021496876530185173,-0.0004392131252416955,-0.0028398030126993573,0.00025090223443914486,0.95,3.5853382461414935,10000
coverage,lightgbm_multiclass,80,160,160 - 80,100,-0.00019425347959334483,0.0038684220140466573,0.0003868422014046657,-0.0009618323331794184,0.0005733253739927289,-0.0015812136195110633,0.0011927066603243737,0.95,3.5853382461414935,10000
coverage,lightgbm_multiclass,160,240,240 - 160,100,6.10254386408704e-05,0.003086671556739686,0.0003086671556739686,-0.0005514371640213876,0.0006734880413031284,-0.0010456507199247196,0.0011677015972064602,0.95,3.5853382461414935,10000
coverage,lightgbm_multiclass,240,360,360 - 240,100,0.0015671950475775365,0.003220289981910149,0.0003220289981910149,0.0009282196504895658,0.002206170444665507,0.000412612163996661,0.002721777931158412,0.95,3.5853382461414935,10000
mean_width,lightgbm_multiclass,20,40,40 - 20,100,-1.0388433204156353,0.4893566749755049,0.04893566749755049,-1.1359423013976675,-0.9417443394336031,-1.2142942406950663,-0.8633924001362043,0.95,3.5853382461414935,10000
mean_width,lightgbm_multiclass,40,80,80 - 40,100,-0.7325721907580431,0.3541792478425988,0.03541792478425988,-0.8028490375022311,-0.6622953440138551,-0.8595574310860128,-0.6055869504300735,0.95,3.5853382461414935,10000
mean_width,lightgbm_multiclass,80,160,160 - 80,100,-0.42093433434846156,0.2865161743309445,0.02865161743309445,-0.4777853593473493,-0.36408330934957384,-0.5236600741451495,-0.31820859455177364,0.95,3.5853382461414935,10000
mean_width,lightgbm_multiclass,160,240,240 - 160,100,-0.16910265357393073,0.18994612124656765,0.018994612124656765,-0.20679208493900703,-0.13141322220885443,-0.23720476289508557,-0.1010005442527759,0.95,3.5853382461414935,10000
mean_width,lightgbm_multiclass,240,360,360 - 240,100,-0.05217188221936864,0.18815808547758728,0.018815808547758727,-0.08950652849617347,-0.014837235942563802,-0.11963292023772404,0.015289155798986764,0.95,3.5853382461414935,10000
mean_width_inclusive,lightgbm_multiclass,20,40,40 - 20,100,-1.0388433204156353,0.48935667497550495,0.048935667497550496,-1.1359423013976675,-0.9417443394336031,-1.2142942406950663,-0.8633924001362043,0.95,3.5853382461414935,10000
mean_width_inclusive,lightgbm_multiclass,40,80,80 - 40,100,-0.7325721907580431,0.3541792478425989,0.03541792478425989,-0.8028490375022311,-0.6622953440138551,-0.8595574310860128,-0.6055869504300735,0.95,3.5853382461414935,10000
mean_width_inclusive,lightgbm_multiclass,80,160,160 - 80,100,-0.42093433434846156,0.2865161743309445,0.02865161743309445,-0.4777853593473493,-0.36408330934957384,-0.5236600741451495,-0.31820859455177364,0.95,3.5853382461414935,10000
mean_width_inclusive,lightgbm_multiclass,160,240,240 - 160,100,-0.16910265357393073,0.18994612124656765,0.018994612124656765,-0.20679208493900703,-0.13141322220885443,-0.23720476289508557,-0.1010005442527759,0.95,3.5853382461414935,10000
mean_width_inclusive,lightgbm_multiclass,240,360,360 - 240,100,-0.05217188221936864,0.18815808547758728,0.018815808547758727,-0.08950652849617347,-0.014837235942563802,-0.11963292023772404,0.015289155798986764,0.95,3.5853382461414935,10000
mean_q,lightgbm_multiclass,20,40,40 - 20,100,0.6137731527665603,0.21198179440813386,0.021198179440813387,0.5717113657789755,0.6558349397541451,0.5377705092688417,0.6897757962642789,0.95,3.5853382461414935,10000
mean_q,lightgbm_multiclass,40,80,80 - 40,100,0.2708820259476281,0.18396041388463757,0.018396041388463756,0.234380288783983,0.30738376311127324,0.20492599517996712,0.3368380567152891,0.95,3.5853382461414935,10000
mean_q,lightgbm_multiclass,80,160,160 - 80,100,-0.2563605983488087,0.13739729588785476,0.013739729588785476,-0.28362320270802227,-0.22909799398959513,-0.30562217633512323,-0.2070990203624942,0.95,3.5853382461414935,10000
mean_q,lightgbm_multiclass,160,240,240 - 160,100,-0.29674939624925484,0.10899921684695298,0.010899921684695297,-0.3183772056261443,-0.2751215868723654,-0.3358293023453399,-0.25766949015316976,0.95,3.5853382461414935,10000
mean_q,lightgbm_multiclass,240,360,360 - 240,100,-0.3209388442574881,0.10220280180591304,0.010220280180591304,-0.3412180974409856,-0.3006595910739906,-0.357582005675244,-0.28429568283973217,0.95,3.5853382461414935,10000
crps_game_equal,lightgbm_multiclass,20,40,40 - 20,100,-0.00018793331772557026,7.402121343563597e-05,7.402121343563598e-06,-0.00020262073237259338,-0.00017324590307854715,-0.00021447242648122908,-0.00016139420896991145,0.95,3.5853382461414935,10000
crps_game_equal,lightgbm_multiclass,40,80,80 - 40,100,-0.00019899230375606785,6.133778002601662e-05,6.133778002601662e-06,-0.00021116305004562113,-0.00018682155746651457,-0.00022098397262213697,-0.00017700063488999872,0.95,3.5853382461414935,10000
crps_game_equal,lightgbm_multiclass,80,160,160 - 80,100,-0.00023128091387465889,5.090574965642271e-05,5.090574965642271e-06,-0.000241381719014412,-0.00022118010873490576,-0.00024953234699382653,-0.00021302948075549124,0.95,3.5853382461414935,10000
crps_game_equal,lightgbm_multiclass,160,240,240 - 160,100,-0.00013006669821919112,3.1606305779218286e-05,3.1606305779218286e-06,-0.0001363380749893603,-0.00012379532144902194,-0.00014139862791213853,-0.0001187347685262437,0.95,3.5853382461414935,10000
crps_game_equal,lightgbm_multiclass,240,360,360 - 240,100,-0.00013003870349182232,2.7015288919032787e-05,2.7015288919032787e-06,-0.00013539912291412728,-0.00012467828406951737,-0.0001397245983510194,-0.00012035280863262524,0.95,3.5853382461414935,10000
coverage_game_equal,lightgbm_multiclass,20,40,40 - 20,100,-0.00032552145929461986,0.005062684610294346,0.0005062684610294346,-0.001330067921683437,0.0006790250030941973,-0.002140665135438646,0.0014896222168494064,0.95,3.5853382461414935,10000
coverage_game_equal,lightgbm_multiclass,40,80,80 - 40,100,-0.0012454163390135066,0.004274029382898198,0.00042740293828981977,-0.0020934764942927863,-0.0003973561837342267,-0.00277780044017725,0.00028696776215023675,0.95,3.5853382461414935,10000
coverage_game_equal,lightgbm_multiclass,80,160,160 - 80,100,-0.00017039631784377063,0.0038622779535968836,0.0003862277953596884,-0.0009367560565402909,0.0005959634208527495,-0.0015551536042697715,0.0012143609685822303,0.95,3.5853382461414935,10000
coverage_game_equal,lightgbm_multiclass,160,240,240 - 160,100,7.652957161820462e-05,0.00305937276096191,0.000305937276096191,-0.0005305163577102497,0.0006835755009466589,-0.0010203590452898185,0.001173418188526228,0.95,3.5853382461414935,10000
coverage_game_equal,lightgbm_multiclass,240,360,360 - 240,100,0.0014914433761091927,0.003197971111212191,0.0003197971111212191,0.0008568965271789639,0.0021259902250394215,0.0003448625626007247,0.0026380241896176606,0.95,3.5853382461414935,10000
mean_width_game_equal,lightgbm_multiclass,20,40,40 - 20,100,-1.0366198795564139,0.49129490662411596,0.049129490662411596,-1.1341034477477585,-0.9391363113650693,-1.2127657214418095,-0.8604740376710183,0.95,3.5853382461414935,10000
mean_width_game_equal,lightgbm_multiclass,40,80,80 - 40,100,-0.7369193527265326,0.3568271715368755,0.03568271715368755,-0.8077216049787691,-0.6661171004742962,-0.8648539632638977,-0.6089847421891675,0.95,3.5853382461414935,10000
mean_width_game_equal,lightgbm_multiclass,80,160,160 - 80,100,-0.4200274244361776,0.2868014733458534,0.028680147334585338,-0.4769350589492284,-0.36311978992312677,-0.5228554535798394,-0.31719939529251573,0.95,3.5853382461414935,10000
